post_id,post_topic,content_type,engagement,post_age_hours,author_experience,author_network_size
P00040,AI,Video,0.1672,49.4,4.9,37
P00041,AI,Article,0.4202,6.5,5.5,220
P00042,Data Science,Article,0.1057,42.2,2.9,311
P00043,Career,Article,0.4213,29.0,13.5,607
P00044,Leadership,Article,0.3719,3.1,0.8,158
P00045,Data Science,Job Opportunity,0.2526,15.6,3.8,221
P00046,Design,Article,0.4626,85.3,3.9,287
P00047,Finance,Article,0.497,27.5,2.9,609
P00048,AI,Text,0.234,45.5,4.5,381
P00049,AI,Job Opportunity,0.224,4.3,3.7,446
P00050,Finance,Article,0.221,37.2,2.5,669
P00051,Software,Article,0.3336,88.0,5.1,494
P00052,Data Science,Video,0.421,65.1,5.8,204
P00053,Software,Text,0.2681,2.7,19.5,1298
P00054,Data Science,Video,0.4731,50.6,2.5,72
P00055,Design,Article,0.2911,35.5,6.7,678
P00056,AI,Job Opportunity,0.1179,18.3,6.6,470
P00057,AI,Video,0.4265,107.1,9.2,894
P00058,Software,Image,0.3376,22.7,8.3,274
P00059,Leadership,Job Opportunity,0.2121,0.7,1.1,222
P00060,Software,Image,0.5928,33.2,4.3,137
P00061,Software,Article,0.1037,37.7,2.3,141
P00062,Leadership,Video,0.5918,36.9,2.6,289
P00063,Marketing,Video,0.4235,21.6,1.7,168
P00064,Marketing,Article,0.1562,101.3,4.3,187
P00065,Marketing,Text,0.0777,86.1,6.9,141
P00066,Marketing,Article,0.2825,9.6,12.3,755
P00067,Finance,Job Opportunity,0.2776,22.7,5.4,185
P00068,Finance,Image,0.5442,39.6,2.7,455
P00069,Leadership,Video,0.0688,29.6,5.9,299
P00070,Data Science,Image,0.0402,32.6,7.3,436
P00071,Software,Video,0.7928,45.1,11.2,268
P00072,Software,Job Opportunity,0.4412,33.3,2.3,614
P00073,Career,Article,0.6446,8.2,1.6,540
P00074,AI,Text,0.5017,11.5,6.2,869
P00075,Machine Learning,Video,0.1591,23.0,5.0,195
P00076,Machine Learning,Image,0.3808,137.6,4.0,168
P00077,Data Science,Image,0.6183,46.0,4.8,242
P00078,Machine Learning,Job Opportunity,0.6033,15.5,2.4,362
P00079,Finance,Image,0.105,42.4,1.0,503
P00080,Design,Article,0.4364,80.0,8.2,200
P00081,Data Science,Article,0.2549,11.6,7.9,388
P00082,Design,Text,0.0402,74.4,1.8,285
P00083,Software,Video,0.4199,20.3,4.6,267
P00084,Leadership,Text,0.1904,1.7,7.6,328
P00085,Machine Learning,Article,0.7497,24.2,7.0,1097
P00086,Marketing,Text,0.3081,36.3,2.9,622
P00087,Leadership,Image,0.4262,0.8,5.7,765
P00088,Leadership,Article,0.4127,69.3,2.1,441
P00089,Design,Video,0.1227,39.7,8.7,1351
P00090,Marketing,Text,0.4693,26.8,4.4,673
P00091,Marketing,Video,0.5813,13.9,5.9,106
P00092,Marketing,Video,0.4774,40.4,6.6,591
P00093,Data Science,Article,0.1304,19.7,4.5,433
P00094,Machine Learning,Image,0.4671,40.4,6.6,543
P00095,Design,Video,0.4489,7.3,8.9,99
P00096,Design,Text,0.3016,73.9,2.4,102
P00097,Design,Job Opportunity,0.2171,40.5,10.2,306
P00098,Leadership,Image,0.6289,8.7,3.6,81
P00099,Software,Text,0.1968,15.0,6.8,580
P00100,Software,Article,0.766,21.2,4.4,372
P00101,Software,Text,0.452,36.5,6.1,1569
P00102,Finance,Text,0.0736,32.5,9.7,446
P00103,Software,Text,0.4816,12.4,5.1,575
P00104,Career,Video,0.3501,3.4,6.5,525
P00105,AI,Job Opportunity,0.3253,6.0,11.5,352
P00106,Design,Article,0.2899,53.1,3.7,363
P00107,Finance,Image,0.6484,20.9,2.7,316
P00108,Data Science,Video,0.2642,4.2,9.3,49
P00109,Finance,Video,0.3112,49.3,4.5,811
P00110,Finance,Image,0.5671,6.0,4.1,817
P00111,Finance,Text,0.4149,62.2,10.3,659
P00112,Software,Video,0.3216,20.4,3.0,355
P00113,Software,Text,0.3844,68.0,6.9,296
P00114,Data Science,Text,0.1786,36.0,12.8,133
P00115,Machine Learning,Text,0.2011,64.3,2.2,121
P00116,Software,Article,0.4075,74.4,13.0,205
P00117,Data Science,Article,0.1108,18.3,3.9,389
P00118,AI,Article,0.6436,8.1,4.1,445
P00119,Data Science,Article,0.1012,63.1,1.6,219
P00120,Data Science,Text,0.2014,14.8,6.1,116
P00121,AI,Article,0.3293,12.6,2.4,194
P00122,Finance,Article,0.343,13.3,7.1,300
P00123,Marketing,Video,0.23,12.7,4.8,95
P00124,Career,Video,0.6333,2.3,6.0,382
P00125,Data Science,Job Opportunity,0.4956,28.3,7.7,1200
P00126,Finance,Job Opportunity,0.054,19.2,15.0,174
P00127,AI,Job Opportunity,0.581,16.9,5.1,1800
P00128,Software,Video,0.3671,74.7,7.1,188
P00129,Marketing,Text,0.3863,101.5,6.5,276
P00130,Finance,Article,0.7143,78.9,5.9,486
P00131,Design,Job Opportunity,0.2598,20.6,1.8,318
P00132,Career,Job Opportunity,0.7599,2.4,2.8,85
P00133,Design,Text,0.5073,28.8,1.9,404
P00134,Finance,Text,0.4526,33.6,12.0,351
P00135,AI,Article,0.4974,4.0,12.1,268
P00136,Finance,Article,0.0788,8.0,7.8,350
P00137,Design,Text,0.4416,51.6,9.3,471
P00138,Machine Learning,Article,0.3161,9.9,2.0,162
P00139,Design,Text,0.581,13.9,7.1,507
P00140,AI,Image,0.4696,4.2,3.3,203
P00141,Marketing,Image,0.37,7.0,2.4,1128
P00142,Design,Job Opportunity,0.5271,85.5,9.3,759
P00143,Machine Learning,Article,0.074,18.7,7.1,149
P00144,Software,Text,0.4451,22.7,2.1,884
P00145,Career,Video,0.4692,87.0,11.3,458
P00146,Data Science,Video,0.274,10.2,4.8,505
P00147,Marketing,Job Opportunity,0.0178,25.7,8.0,286
P00148,Machine Learning,Text,0.695,28.9,3.6,251
P00149,Leadership,Article,0.0268,64.3,6.1,266
P00150,Finance,Text,0.2915,29.3,8.4,154
P00151,Finance,Text,0.2455,27.0,2.2,74
P00152,Leadership,Text,0.4907,78.0,13.3,198
P00153,Finance,Text,0.1012,4.2,7.9,198
P00154,Leadership,Text,0.6484,37.3,6.5,138
P00155,Data Science,Text,0.3195,3.7,0.7,526
P00156,Career,Video,0.2145,22.0,5.1,402
P00157,Marketing,Article,0.5508,5.7,9.4,206
P00158,Software,Job Opportunity,0.4783,2.6,0.9,257
P00159,Career,Video,0.2572,3.9,12.1,395
P00160,Software,Article,0.1594,34.0,1.5,185
P00161,Design,Article,0.3993,21.8,6.0,43
P00162,Design,Article,0.3553,21.6,13.7,860
P00163,Marketing,Article,0.3283,27.1,6.7,301
P00164,Finance,Video,0.4426,2.4,8.7,410
P00165,Software,Job Opportunity,0.7328,147.7,9.4,379
P00166,Career,Article,0.3468,0.3,7.4,104
P00167,Software,Text,0.1091,35.1,2.7,191
P00168,Marketing,Job Opportunity,0.2679,0.8,4.3,327
P00169,Career,Text,0.3844,4.8,2.8,282
P00170,Machine Learning,Text,0.1126,46.8,12.9,133
P00171,Machine Learning,Text,0.1442,1.6,4.4,434
P00172,Design,Article,0.4546,19.7,9.9,521
P00173,Design,Article,0.4654,46.8,8.0,244
P00174,Software,Job Opportunity,0.7235,23.8,5.9,737
P00175,Software,Video,0.1933,3.4,2.7,506
P00176,Marketing,Text,0.4466,26.8,3.1,450
P00177,Marketing,Job Opportunity,0.2645,82.0,3.5,222
P00178,Software,Text,0.6211,0.4,2.0,288
P00179,Machine Learning,Article,0.638,4.2,15.9,643
P00180,Marketing,Job Opportunity,0.2593,23.0,7.7,104
P00181,Software,Video,0.0472,26.0,5.9,109
P00182,Finance,Image,0.2286,20.6,1.1,238
P00183,Leadership,Article,0.5556,1.6,4.6,325
P00184,Software,Text,0.3261,5.2,4.9,306
P00185,Marketing,Job Opportunity,0.3382,14.6,5.6,502
P00186,Design,Article,0.4311,20.0,5.6,401
P00187,Finance,Job Opportunity,0.4234,98.5,7.4,336
P00188,Machine Learning,Image,0.6022,36.6,1.9,259
P00189,Leadership,Text,0.381,31.4,3.7,635
P00190,Data Science,Job Opportunity,0.3352,7.6,7.0,863
P00191,Leadership,Job Opportunity,0.3333,23.3,7.1,261
P00192,AI,Job Opportunity,0.067,22.2,6.0,451
P00193,Leadership,Text,0.2314,30.0,8.9,269
P00194,Leadership,Video,0.3391,9.6,4.3,125
P00195,AI,Text,0.2898,36.5,5.2,87
P00196,Finance,Article,0.032,24.8,8.9,846
P00197,Finance,Job Opportunity,0.6019,29.2,2.0,626
P00198,Marketing,Job Opportunity,0.2862,18.5,13.0,456
P00199,Marketing,Article,0.2315,3.8,8.3,734
P00200,Leadership,Video,0.1988,30.3,3.5,174
P00201,Design,Job Opportunity,0.1838,4.5,9.1,674
P00202,Leadership,Video,0.4733,16.9,2.3,436
P00203,Software,Article,0.1885,8.2,11.8,234
P00204,Design,Article,0.4299,26.3,1.2,52
P00205,Finance,Text,0.6746,30.7,1.9,105
P00206,Career,Job Opportunity,0.2058,33.1,2.9,1307
P00207,Finance,Text,0.4455,24.0,3.1,1272
P00208,Software,Text,0.7095,8.2,6.4,106
P00209,Leadership,Image,0.4018,7.3,8.7,67
P00210,Leadership,Image,0.6651,11.1,1.4,937
P00211,Machine Learning,Job Opportunity,0.3004,18.3,12.3,310
P00212,AI,Image,0.4273,21.4,7.1,186
P00213,Leadership,Video,0.4538,21.0,15.7,123
P00214,Machine Learning,Job Opportunity,0.2853,5.9,5.0,122
P00215,Finance,Video,0.5149,18.5,13.1,938
P00216,Finance,Video,0.5547,2.4,16.5,403
P00217,Data Science,Article,0.075,65.2,3.1,79
P00218,Finance,Text,0.5273,35.1,2.8,188
P00219,Design,Article,0.1972,15.3,4.2,1172
P00220,Finance,Job Opportunity,0.6954,46.9,4.0,420
P00221,Career,Article,0.6749,48.0,6.3,108
P00222,Finance,Text,0.1221,60.4,4.0,196
P00223,Finance,Job Opportunity,0.0788,28.6,9.1,303
P00224,Marketing,Image,0.1238,19.7,7.6,706
P00225,Software,Image,0.2931,40.8,2.9,305
P00226,Design,Video,0.1708,40.2,5.0,994
P00227,Design,Article,0.2317,1.0,9.5,407
P00228,Machine Learning,Text,0.4507,41.3,6.7,53
P00229,Machine Learning,Image,0.2349,6.7,7.9,507
P00230,Data Science,Job Opportunity,0.1547,36.7,2.8,285
P00231,Machine Learning,Text,0.5428,16.2,5.4,220
P00232,AI,Text,0.2681,19.3,2.1,453
P00233,Career,Article,0.447,3.1,5.9,271
P00234,Machine Learning,Text,0.3143,19.8,4.8,388
P00235,Data Science,Text,0.4181,12.9,6.1,217
P00236,Design,Article,0.0655,24.7,2.7,211
P00237,Data Science,Text,0.6572,104.0,7.2,801
P00238,AI,Video,0.187,56.8,9.7,362
P00239,Software,Video,0.3165,19.9,0.8,458
P00240,Machine Learning,Text,0.3074,19.4,1.7,208
P00241,Marketing,Text,0.0927,18.2,3.1,774
P00242,Data Science,Text,0.4516,6.7,4.1,389
P00243,AI,Video,0.3753,1.5,3.5,252
P00244,Software,Text,0.4587,38.2,2.0,910
P00245,Finance,Job Opportunity,0.6178,17.5,6.2,252
P00246,Finance,Text,0.0352,12.6,5.9,382
P00247,Data Science,Image,0.289,7.5,3.5,126
P00248,Design,Text,0.4494,2.0,6.8,200
P00249,Finance,Video,0.0952,62.6,4.6,615
P00250,Leadership,Video,0.0073,2.4,13.5,317
P00251,Marketing,Article,0.6767,124.7,1.5,356
P00252,Data Science,Text,0.7673,35.2,2.8,307
P00253,AI,Article,0.1269,118.4,4.3,318
P00254,Leadership,Text,0.38,1.0,9.9,214
P00255,Career,Job Opportunity,0.5422,15.3,8.3,227
P00256,Career,Video,0.3791,37.5,7.1,261
P00257,Career,Video,0.1925,70.5,1.8,262
P00258,Software,Text,0.6355,32.8,3.2,478
P00259,Finance,Text,0.3475,11.6,4.6,466
P00260,Leadership,Image,0.1214,30.2,9.1,948
P00261,Leadership,Article,0.2031,1.2,4.9,575
P00262,Marketing,Article,0.5972,7.8,7.5,163
P00263,AI,Article,0.5463,28.6,6.9,193
P00264,Leadership,Article,0.4744,34.6,7.6,695
P00265,Marketing,Job Opportunity,0.3255,27.3,3.0,560
P00266,AI,Article,0.0821,6.8,8.4,758
P00267,Finance,Article,0.1771,59.7,7.3,329
P00268,Leadership,Article,0.436,42.8,12.9,268
P00269,Design,Article,0.6947,18.1,3.9,434
P00270,Career,Text,0.1384,68.5,5.9,110
P00271,Software,Article,0.5403,21.6,2.0,282
P00272,Leadership,Article,0.114,41.3,1.4,1583
P00273,Leadership,Article,0.5309,16.2,14.1,254
P00274,Machine Learning,Image,0.592,22.1,6.7,326
P00275,Career,Text,0.4533,30.7,1.3,281
P00276,Machine Learning,Image,0.4914,7.8,7.2,1099
P00277,Leadership,Article,0.3353,4.9,3.9,128
P00278,Leadership,Text,0.2328,33.6,7.5,567
P00279,Design,Job Opportunity,0.0485,32.9,8.7,240
P00280,Marketing,Article,0.4878,112.1,6.3,196
P00281,AI,Text,0.339,33.3,4.2,86
P00282,Design,Text,0.5377,42.1,5.3,1302
P00283,Data Science,Article,0.6818,121.9,7.7,589
P00284,Finance,Video,0.8066,35.2,8.4,114
P00285,Career,Video,0.1994,4.4,2.9,121
P00286,Software,Text,0.6687,2.6,1.7,197
P00287,Marketing,Text,0.3717,66.9,2.1,492
P00288,Leadership,Text,0.1986,17.6,4.4,298
P00289,Finance,Text,0.5603,42.4,8.2,159
P00290,Leadership,Image,0.2392,42.8,4.6,310
P00291,Leadership,Video,0.4173,85.6,2.0,911
P00292,Finance,Text,0.1319,32.2,6.2,532
P00293,AI,Article,0.3938,78.7,5.0,78
P00294,Leadership,Video,0.3704,22.4,8.6,142
P00295,Career,Article,0.243,2.3,2.5,297
P00296,Software,Job Opportunity,0.2968,1.0,6.5,368
P00297,Career,Image,0.3435,27.7,6.1,941
P00298,Machine Learning,Text,0.2515,105.1,7.4,328
P00299,Machine Learning,Image,0.1118,35.5,9.4,508
P00300,Machine Learning,Article,0.0791,45.2,1.0,57
P00301,Finance,Article,0.2176,1.3,3.3,240
P00302,Software,Job Opportunity,0.2373,39.8,4.7,578
P00303,Leadership,Image,0.3152,21.8,3.2,1496
P00304,Marketing,Text,0.3892,16.6,5.7,113
P00305,Data Science,Image,0.1093,46.1,4.7,288
P00306,Software,Article,0.5084,27.9,2.0,81
P00307,Design,Image,0.1434,2.7,7.6,281
P00308,Career,Job Opportunity,0.166,7.0,2.4,760
P00309,Data Science,Image,0.5807,9.4,5.8,691
P00310,Software,Text,0.2381,37.7,2.2,318
P00311,Career,Text,0.1494,32.7,5.8,269
P00312,Leadership,Job Opportunity,0.1018,24.9,4.7,2646
P00313,Finance,Text,0.4395,39.3,5.2,277
P00314,Finance,Job Opportunity,0.8457,0.9,6.0,213
P00315,Leadership,Text,0.4193,8.7,8.8,210
P00316,Machine Learning,Article,0.2218,10.0,3.7,102
P00317,Design,Article,0.3463,4.8,1.9,469
P00318,Marketing,Text,0.5151,2.7,4.4,555
P00319,Machine Learning,Article,0.1201,8.0,9.0,539
P00320,Design,Text,0.4272,1.6,0.6,613
P00321,Design,Job Opportunity,0.4346,24.5,1.8,205
P00322,Design,Article,0.1469,0.4,4.6,289
P00323,Leadership,Video,0.0723,4.4,9.5,829
P00324,Software,Text,0.5018,33.3,3.4,226
P00325,Finance,Video,0.3847,31.1,4.4,210
P00326,Finance,Text,0.3694,18.6,3.1,731
P00327,Finance,Job Opportunity,0.3757,20.6,3.8,175
P00328,Machine Learning,Text,0.3698,51.0,7.8,132
P00329,Software,Text,0.2615,2.2,8.6,142
P00330,Finance,Article,0.2229,4.4,8.1,2866
P00331,Finance,Text,0.3675,36.4,7.4,738
P00332,Software,Article,0.442,15.2,2.3,543
P00333,Leadership,Video,0.0551,73.8,13.0,156
P00334,Design,Text,0.1268,30.7,12.3,492
P00335,Finance,Image,0.5086,32.0,4.7,1280
P00336,Marketing,Text,0.3408,2.2,9.3,441
P00337,Machine Learning,Video,0.1572,7.0,0.8,136
P00338,Machine Learning,Article,0.6579,14.7,9.9,506
P00339,AI,Video,0.0737,27.2,5.7,290
P00340,Design,Job Opportunity,0.7949,10.1,2.4,369
P00341,Software,Text,0.0349,1.0,10.1,152
P00342,Leadership,Article,0.219,5.0,1.0,180
P00343,Marketing,Video,0.234,17.6,8.1,226
P00344,Machine Learning,Article,0.4269,7.4,10.0,177
P00345,Machine Learning,Text,0.2491,1.3,11.1,315
P00346,Career,Article,0.0537,65.8,0.8,191
P00347,Career,Text,0.4897,78.3,1.5,1223
P00348,Marketing,Job Opportunity,0.4326,12.0,1.7,489
P00349,Data Science,Article,0.419,4.2,7.7,606
P00350,Data Science,Text,0.2184,25.3,12.7,296
P00351,Career,Text,0.2329,11.1,6.6,66
P00352,Machine Learning,Text,0.4695,22.5,3.5,646
P00353,AI,Video,0.3789,12.7,11.9,303
P00354,Software,Image,0.4321,9.8,12.2,461
P00355,Machine Learning,Job Opportunity,0.1011,63.1,13.4,312
P00356,Machine Learning,Text,0.274,13.1,2.4,56
P00357,Finance,Article,0.4495,2.1,1.9,234
P00358,Career,Text,0.3981,24.0,1.3,171
P00359,Leadership,Video,0.6378,70.4,1.8,390
P00360,Software,Image,0.1268,5.2,1.0,477
P00361,Data Science,Image,0.5627,3.0,9.2,1851
P00362,Finance,Job Opportunity,0.6479,12.3,6.5,480
P00363,Data Science,Article,0.474,1.5,25.0,211
P00364,Design,Job Opportunity,0.3466,19.5,5.0,235
P00365,Design,Job Opportunity,0.4293,15.8,5.4,499
P00366,Design,Article,0.4047,23.1,10.3,649
P00367,Data Science,Text,0.3772,10.1,3.8,122
P00368,Career,Image,0.5448,14.4,2.5,271
P00369,Leadership,Text,0.5602,13.4,6.3,292
P00370,Career,Article,0.4587,67.2,4.7,91
P00371,Machine Learning,Text,0.078,12.6,6.1,588
P00372,Design,Video,0.2358,31.6,13.5,395
P00373,Design,Job Opportunity,0.3053,4.4,3.0,282
P00374,Career,Image,0.1765,10.6,3.1,401
P00375,Marketing,Job Opportunity,0.5594,86.8,8.6,557
P00376,Finance,Text,0.4078,26.1,3.1,1552
P00377,Software,Image,0.2704,78.6,22.9,558
P00378,AI,Article,0.6659,192.2,4.5,132
P00379,Design,Text,0.2645,0.1,6.5,3153
P00380,Machine Learning,Job Opportunity,0.4475,76.6,10.3,135
P00381,Data Science,Image,0.4495,4.1,5.6,451
P00382,Finance,Video,0.2514,70.1,4.7,280
P00383,Leadership,Article,0.1697,15.9,9.5,300
P00384,Software,Article,0.041,96.8,2.9,447
P00385,Machine Learning,Video,0.471,3.3,6.3,475
P00386,Software,Text,0.383,108.3,2.4,997
P00387,Software,Text,0.4954,41.3,9.0,195
P00388,AI,Image,0.2861,1.1,4.5,455
P00389,Data Science,Article,0.0966,51.8,6.4,537
P00390,Finance,Text,0.0302,10.9,10.9,2170
P00391,Finance,Article,0.356,59.7,2.6,493
P00392,Data Science,Article,0.5282,7.0,7.2,132
P00393,Design,Article,0.6246,78.9,9.1,992
P00394,Software,Article,0.2389,12.2,8.3,232
P00395,Career,Text,0.157,14.8,4.4,166
P00396,Marketing,Text,0.1367,19.5,1.6,955
P00397,Marketing,Text,0.5786,8.3,11.1,367
P00398,Software,Job Opportunity,0.4346,91.4,1.6,282
P00399,Design,Text,0.1706,13.0,1.4,1272
P00400,Finance,Video,0.2586,40.9,5.1,219
P00401,Finance,Video,0.131,0.3,3.2,218
P00402,Software,Text,0.5138,13.2,6.7,491
P00403,Finance,Text,0.2427,52.9,8.7,54
P00404,Leadership,Job Opportunity,0.6163,19.0,4.4,376
P00405,Design,Text,0.5717,62.1,18.0,352
P00406,Career,Video,0.2627,75.1,2.7,167
P00407,Machine Learning,Video,0.3083,69.9,1.2,326
P00408,AI,Image,0.4377,48.9,5.0,406
P00409,Design,Text,0.3945,27.7,5.3,319
P00410,Career,Text,0.3788,11.4,7.5,635
P00411,Machine Learning,Text,0.4125,43.1,3.9,410
P00412,Career,Image,0.1665,5.2,1.6,288
P00413,Leadership,Text,0.3215,1.9,5.5,579
P00414,Design,Job Opportunity,0.6336,43.5,6.8,409
P00415,Machine Learning,Image,0.183,32.7,5.8,3645
P00416,Career,Article,0.4371,15.0,6.9,749
P00417,Data Science,Text,0.0651,68.5,6.3,216
P00418,Finance,Job Opportunity,0.2877,3.9,5.8,83
P00419,Software,Text,0.2008,15.5,3.5,192
P00420,AI,Text,0.0241,59.0,3.4,64
P00421,Leadership,Article,0.4355,0.3,14.0,562
P00422,AI,Article,0.4961,13.0,2.6,262
P00423,Finance,Text,0.5311,17.9,14.2,179
P00424,Machine Learning,Image,0.3084,0.3,3.1,533
P00425,Design,Video,0.4994,35.8,12.0,246
P00426,Finance,Article,0.3592,67.3,8.9,453
P00427,Machine Learning,Text,0.1732,6.6,7.7,267
P00428,Design,Text,0.6501,7.8,0.3,351
P00429,Leadership,Video,0.5781,11.1,3.5,927
P00430,Machine Learning,Text,0.0955,13.8,6.1,687
P00431,Data Science,Job Opportunity,0.0302,56.3,9.4,1039
P00432,Finance,Image,0.31,47.1,5.0,435
P00433,Leadership,Video,0.6268,61.6,1.8,78
P00434,Design,Text,0.6168,32.3,5.2,191
P00435,Career,Video,0.415,1.0,6.9,91
P00436,AI,Text,0.29,11.9,4.5,689
P00437,Finance,Image,0.5025,23.5,13.4,334
P00438,AI,Job Opportunity,0.6049,54.0,5.5,905
P00439,Software,Job Opportunity,0.5952,45.4,9.8,758
P00440,Software,Video,0.4685,8.2,3.5,299
P00441,Software,Video,0.1456,10.5,8.3,1335
P00442,Software,Text,0.316,47.2,3.0,712
P00443,Data Science,Article,0.4492,44.1,8.4,353
P00444,Finance,Video,0.3588,8.0,4.4,468
P00445,Design,Job Opportunity,0.3944,9.6,1.9,1024
P00446,Data Science,Job Opportunity,0.4192,18.7,3.9,473
P00447,AI,Job Opportunity,0.544,23.4,2.7,194
P00448,Marketing,Text,0.3894,40.4,4.2,129
P00449,Software,Video,0.4702,90.1,2.0,267
P00450,Machine Learning,Video,0.2661,27.6,1.6,192
P00451,Leadership,Text,0.4527,3.3,2.5,389
P00452,Leadership,Article,0.1897,122.4,1.0,219
P00453,Data Science,Video,0.1042,13.7,10.7,243
P00454,Machine Learning,Text,0.4032,21.5,5.2,871
P00455,Finance,Video,0.2074,31.7,5.6,1242
P00456,Finance,Job Opportunity,0.5256,4.6,4.3,177
P00457,Design,Video,0.5147,26.7,2.2,248
P00458,AI,Text,0.2613,46.3,6.9,275
P00459,Machine Learning,Text,0.6278,2.1,6.3,425
P00460,Career,Video,0.0745,27.7,2.3,435
P00461,Design,Video,0.1877,25.0,8.6,220
P00462,Marketing,Article,0.6654,52.5,2.0,497
P00463,Software,Text,0.6937,36.1,5.5,228
P00464,Machine Learning,Job Opportunity,0.4056,34.7,9.4,245
P00465,Career,Article,0.482,27.9,11.9,160
P00466,Marketing,Video,0.2654,31.7,4.5,756
P00467,Data Science,Job Opportunity,0.5566,6.7,2.8,683
P00468,Data Science,Image,0.6166,18.6,1.4,436
P00469,Machine Learning,Job Opportunity,0.4891,73.8,4.0,561
P00470,Career,Image,0.3543,61.0,3.9,802
P00471,AI,Text,0.5673,27.9,9.8,603
P00472,Design,Text,0.4543,3.5,5.5,591
P00473,Machine Learning,Article,0.0836,64.0,1.9,234
P00474,Machine Learning,Article,0.368,13.0,8.5,99
P00475,AI,Video,0.4976,36.4,9.5,175
P00476,Finance,Text,0.2557,21.4,6.0,1912
P00477,AI,Text,0.5055,51.9,8.7,273
P00478,Software,Image,0.6018,9.5,5.0,1189
P00479,Career,Article,0.3916,13.2,8.1,509
P00480,Leadership,Text,0.6097,4.5,3.5,322
P00481,Data Science,Video,0.6613,7.0,12.1,160
P00482,AI,Article,0.4722,4.1,2.1,188
P00483,Machine Learning,Text,0.0607,54.8,21.3,297
P00484,Finance,Article,0.2437,44.4,15.6,297
P00485,Finance,Image,0.5517,13.2,12.4,511
P00486,Career,Video,0.2524,11.9,2.9,192
P00487,Finance,Video,0.0968,52.7,4.1,198
P00488,Data Science,Article,0.1087,46.6,3.6,664
P00489,Marketing,Video,0.4238,30.6,3.0,1509
P00490,Career,Text,0.5185,50.8,3.5,354
P00491,Career,Video,0.0846,3.5,7.3,471
P00492,Machine Learning,Article,0.2395,50.5,4.2,294
P00493,Data Science,Article,0.3036,27.2,2.3,314
P00494,Design,Article,0.374,19.8,1.3,279
P00495,Career,Article,0.1448,1.1,9.0,250
P00496,Career,Article,0.5461,61.7,5.8,515
P00497,Machine Learning,Article,0.2644,10.7,5.3,541
P00498,Data Science,Job Opportunity,0.3939,5.9,0.6,272
P00499,Career,Video,0.4861,30.2,2.4,209
P00500,Machine Learning,Video,0.3581,7.9,5.4,225
P00501,Leadership,Text,0.3437,11.6,6.9,556
P00502,Finance,Article,0.4563,83.6,0.4,174
P00503,Leadership,Job Opportunity,0.0817,2.5,5.2,146
P00504,Leadership,Article,0.0694,18.1,6.2,414
P00505,AI,Image,0.4224,4.3,2.6,313
P00506,Machine Learning,Video,0.4983,37.9,10.5,296
P00507,Data Science,Text,0.6004,19.2,1.9,643
P00508,Design,Image,0.3916,6.5,6.3,317
P00509,Design,Image,0.4621,60.6,3.7,196
P00510,Leadership,Job Opportunity,0.7587,7.5,7.4,379
P00511,Software,Text,0.3853,10.9,5.1,196
P00512,Design,Article,0.4463,7.3,9.9,671
P00513,Leadership,Video,0.6437,10.0,2.3,336
P00514,Software,Article,0.5356,39.2,3.7,145
P00515,Leadership,Text,0.2195,36.9,7.5,374
P00516,Data Science,Video,0.5012,66.2,5.6,175
P00517,Finance,Text,0.4212,8.7,7.6,751
