user_id,post_id,baseline_score,fairness_score,baseline_rank,fairness_rank,gender,age_group,location
U0098,P01217,0.25609094,0.5479561872780323,13,3,Male,18-25,Pune
U0098,P02918,0.45429784,0.5250394110156582,7,4,Male,18-25,Pune
U0098,P02407,0.67671597,0.5,1,5,Male,18-25,Pune
U0098,P04433,0.5544189,0.49758176447358593,4,6,Male,18-25,Pune
U0098,P04518,0.43870142,0.43624917599845303,8,7,Male,18-25,Pune
U0098,P01539,0.43521577,0.4329959734568565,9,8,Male,18-25,Pune
U0098,P01317,0.5845984,0.4200139862623936,3,9,Male,18-25,Pune
U0098,P02066,0.4742878,0.4187018153265736,6,10,Male,18-25,Pune
U0098,P00503,0.49436274,0.4019144746598264,5,11,Male,18-25,Pune
U0098,P01124,0.21146789,0.38896093790527564,14,12,Male,18-25,Pune
U0098,P04152,0.4147926,0.38186742663739065,10,13,Male,18-25,Pune
U0098,P04739,0.28049478,0.3096967076702707,12,14,Male,18-25,Pune
U0133,P00773,0.40208733,0.6379107534885406,6,1,Male,26-35,Chennai
U0133,P04073,0.8321175,0.6171930398734523,1,2,Male,26-35,Chennai
U0133,P04014,0.43688273,0.5648251110758464,5,3,Male,26-35,Chennai
U0133,P00838,0.7956411,0.46928656101226807,2,4,Male,26-35,Chennai
U0133,P03378,0.2382996,0.42799869088528875,11,5,Male,26-35,Chennai
U0133,P00827,0.30357152,0.4192479921079452,9,6,Male,26-35,Chennai
U0133,P03048,0.2772832,0.4052131275315627,10,7,Male,26-35,Chennai
U0133,P02708,0.5262544,0.36589914195124534,3,8,Male,26-35,Chennai
U0133,P03281,0.35250303,0.3325918939108675,7,9,Male,26-35,Chennai
U0133,P04485,0.46906787,0.28578335684170175,4,10,Male,26-35,Chennai
U0133,P03976,0.33789283,0.26451623072563346,8,11,Male,26-35,Chennai
U0137,P02144,0.49622932,0.733212657884885,7,1,Female,56+,Other
U0137,P01559,0.44641656,0.6590973131017568,9,2,Female,56+,Other
U0137,P01002,0.7162647,0.6094037860403045,4,3,Female,56+,Other
U0137,P02915,0.68322635,0.6045858485413037,5,4,Female,56+,Other
U0137,P03456,0.3685574,0.6024198648237415,12,5,Female,56+,Other
U0137,P02165,0.7978863,0.5778494623655914,1,6,Female,56+,Other
U0137,P02485,0.7410662,0.5655010426337451,3,7,Female,56+,Other
U0137,P00047,0.5860132,0.5602418604973823,6,8,Female,56+,Other
U0137,P03427,0.45249882,0.5550153506681119,8,9,Female,56+,Other
U0137,P04913,0.17971557,0.5,15,10,Female,56+,Other
U0137,P00659,0.781118,0.4864371418952942,2,11,Female,56+,Other
U0137,P02697,0.34702414,0.41882784027932435,14,12,Female,56+,Other
U0137,P02965,0.34959847,0.4152264902906667,13,13,Female,56+,Other
U0137,P04041,0.44484615,0.3793324846633568,10,14,Female,56+,Other
U0137,P00038,0.4060803,0.3678543051935378,11,15,Female,56+,Other
U0162,P04458,0.4330323,0.6335603394881568,8,1,Female,46-55,Pune
U0162,P02607,0.328052,0.5792178586125374,10,2,Female,46-55,Pune
U0162,P04831,0.48028105,0.5111167041342122,5,3,Female,46-55,Pune
U0162,P02466,0.43309632,0.5066644854872275,7,4,Female,46-55,Pune
U0162,P04749,0.7584494,0.5,1,5,Female,46-55,Pune
U0162,P03519,0.49697042,0.4987016339926237,3,6,Female,46-55,Pune
U0162,P04852,0.490765,0.4576644022208193,4,7,Female,46-55,Pune
U0162,P04627,0.6088298,0.45180911396108747,2,8,Female,46-55,Pune
U0162,P03093,0.25471172,0.43337677628315996,11,9,Female,46-55,Pune
U0162,P03783,0.47993582,0.40917491475830536,6,10,Female,46-55,Pune
U0162,P01617,0.24702397,0.32899427713669194,12,11,Female,46-55,Pune
U0162,P04100,0.3422312,0.16128556220152215,9,12,Female,46-55,Pune
U0163,P02652,0.38411692,0.6962926238775253,7,1,Male,18-25,Bengaluru
U0163,P04584,0.6110412,0.6297544223417353,1,2,Male,18-25,Bengaluru
U0163,P04538,0.49169087,0.6131550439543574,4,3,Male,18-25,Bengaluru
U0163,P03277,0.47970605,0.6108841828894247,5,4,Male,18-25,Bengaluru
U0163,P03247,0.50314194,0.5999056080182805,3,5,Male,18-25,Bengaluru
U0163,P01231,0.42642722,0.5411975914283527,6,6,Male,18-25,Bengaluru
U0163,P02201,0.3413439,0.5028450976882697,9,7,Male,18-25,Bengaluru
U0163,P04306,0.61021924,0.4988999366760254,2,8,Male,18-25,Bengaluru
U0163,P04076,0.24899992,0.4782961966068702,10,9,Male,18-25,Bengaluru
U0163,P01815,0.23752584,0.43264745347132333,11,10,Male,18-25,Bengaluru
U0163,P03543,0.35251424,0.390826890028196,8,11,Male,18-25,Bengaluru
U0163,P03867,0.23745088,0.22072830946672728,12,12,Male,18-25,Bengaluru
U0171,P03778,0.6691654,0.7674682217642319,6,1,Female,26-35,Other
U0171,P03752,0.55985105,0.7136015708732975,9,2,Female,26-35,Other
U0171,P03824,0.73687524,0.658644826458406,3,3,Female,26-35,Other
U0171,P00877,0.6336266,0.6347481335724972,7,4,Female,26-35,Other
U0171,P01056,0.44004408,0.580583124297996,10,5,Female,26-35,Other
U0171,P01710,0.7113744,0.5802414528344029,4,6,Female,26-35,Other
U0171,P00311,0.40620044,0.5669760927557945,12,7,Female,26-35,Other
U0171,P04113,0.6735942,0.5440939092137093,5,8,Female,26-35,Other
U0171,P02758,0.80476373,0.5186356589147286,1,9,Female,26-35,Other
U0171,P01886,0.59025943,0.46939881899375324,8,10,Female,26-35,Other
U0171,P04370,0.752557,0.44327932596206665,2,11,Female,26-35,Other
U0171,P00139,0.4360152,0.36166325763722723,11,12,Female,26-35,Other
U0171,P04625,0.3445544,0.3532713178294574,13,13,Female,26-35,Other
U0175,P00392,0.64962703,0.6143812064035985,2,1,Female,18-25,Bengaluru
U0175,P00041,0.5664347,0.6024911881232347,4,2,Female,18-25,Bengaluru
U0175,P01814,0.7471391,0.5786210150299925,1,3,Female,18-25,Bengaluru
U0175,P03544,0.53084123,0.5742713072502108,6,4,Female,18-25,Bengaluru
U0175,P00894,0.58064044,0.5483809517964026,3,5,Female,18-25,Bengaluru
U0175,P04966,0.30617478,0.5184563174843788,12,6,Female,18-25,Bengaluru
U0175,P02294,0.41070947,0.49481332498037206,8,7,Female,18-25,Bengaluru
U0175,P01038,0.44285253,0.4742763892781295,7,8,Female,18-25,Bengaluru
U0175,P01567,0.33140278,0.40969127836568975,11,9,Female,18-25,Bengaluru
U0175,P01317,0.28927377,0.3680663206847746,13,10,Female,18-25,Bengaluru
U0175,P02350,0.5491778,0.2838215231895447,5,11,Female,18-25,Bengaluru
U0175,P03765,0.35731936,0.2442878810799957,10,12,Female,18-25,Bengaluru
U0175,P02310,0.36423597,0.1867334876000346,9,13,Female,18-25,Bengaluru
U0194,P04633,0.4262737,0.75263711810112,11,1,Female,46-55,Pune
U0194,P01269,0.63345706,0.6542149796302099,1,2,Female,46-55,Pune
U0194,P04447,0.51416844,0.6381164591053143,7,3,Female,46-55,Pune
U0194,P02242,0.6117201,0.6287639016624679,2,4,Female,46-55,Pune
U0194,P01565,0.54330546,0.6172475501778205,4,5,Female,46-55,Pune
U0194,P04363,0.4642484,0.6090073397786444,9,6,Female,46-55,Pune
U0194,P03323,0.5062315,0.5856130100798359,8,7,Female,46-55,Pune
U0194,P02488,0.53352547,0.529043176606769,6,8,Female,46-55,Pune
U0194,P03801,0.6053924,0.527790081629892,3,9,Female,46-55,Pune
U0194,P02160,0.4615219,0.495285153445014,10,10,Female,46-55,Pune
U0194,P00676,0.41474313,0.41868860620441417,12,11,Female,46-55,Pune
U0194,P01415,0.54226303,0.3911204934120178,5,12,Female,46-55,Pune
U0194,P04065,0.21467285,0.37869006581009096,15,13,Female,46-55,Pune
U0194,P03751,0.3041691,0.32653280791445083,13,14,Female,46-55,Pune
U0194,P02314,0.28092015,0.29059588675708536,14,15,Female,46-55,Pune
