user_id,post_id,author_id,age_group,gender,location,professional_field,experience_years,education,network_size,previous_interactions,post_topic,content_type,engagement,author_user_similarity,topic_similarity,post_age_hours,author_experience,author_network_size,network_distance,interaction_probability,interaction
U2217,P03805,A1537,18-25,Male,Ahmedabad,Business,3.4,Masters,83,16,Software,Text,0.3796,0.8675,0.4219,8.6,2.4,534,1,0.6725,1
U0336,P01620,A0785,26-35,Male,Bengaluru,HR,2.3,Bachelors,153,31,AI,Image,0.4746,0.7264,0.8884,65.7,2.4,227,3,0.7424,1
U1109,P01983,A1711,56+,Female,Bengaluru,Business,4.4,Bachelors,329,21,Software,Article,0.3262,0.8371,0.4704,11.0,6.5,140,5,0.5843,1
U2381,P00766,A0991,46-55,Male,Pune,Engineering,5.1,Bachelors,638,18,Machine Learning,Video,0.224,0.3649,0.581,41.8,10.6,306,4,0.3296,0
U1543,P04172,A0012,26-35,Female,Hyderabad,Computer Science,8.7,Bachelors,160,16,Marketing,Article,0.8778,0.6789,0.6045,34.0,4.1,123,3,0.6962,0
U2634,P03128,A0012,36-45,Male,Hyderabad,Computer Science,3.8,Masters,209,19,AI,Article,0.5487,0.4166,0.6669,16.4,2.3,332,3,0.5554,0
U1664,P01905,A0960,18-25,Male,Other,HR,7.3,Masters,111,19,Software,Image,0.4269,0.3843,0.3395,19.5,1.6,704,3,0.364,1
U1540,P01282,A1138,26-35,Male,Delhi,Other,7.7,Bachelors,155,23,Software,Article,0.1813,0.7526,0.8728,61.8,7.7,164,1,0.7118,1
U0541,P01855,A0022,56+,Female,Other,Other,2.5,Masters,925,23,AI,Video,0.1047,0.5591,0.4602,13.0,3.0,505,4,0.3982,0
U1253,P00630,A0170,18-25,Male,Ahmedabad,Business,3.7,Masters,50,21,Marketing,Job Opportunity,0.6708,0.0642,0.9494,72.9,12.2,204,2,0.4536,1
U0348,P04662,A1537,18-25,Female,Chennai,HR,5.3,Bachelors,242,19,Software,Text,0.4926,0.3591,0.4292,4.4,12.7,312,2,0.4629,0
U2983,P04903,A1823,18-25,Female,Hyderabad,Marketing,2.1,PhD,151,13,AI,Job Opportunity,0.5959,0.2141,0.7836,57.7,7.0,755,2,0.4159,0
U1542,P04100,A0780,18-25,Male,Bengaluru,Marketing,2.9,Masters,82,22,Career,Article,0.0841,0.6614,0.6755,12.0,16.8,159,4,0.5544,0
U1611,P02621,A0528,18-25,Female,Kolkata,Data Science,2.1,Bachelors,44,22,Machine Learning,Image,0.4362,0.6753,0.2774,17.6,8.0,428,5,0.418,0
U2442,P03368,A0396,18-25,Female,Delhi,Data Science,3.9,Bachelors,179,18,Software,Job Opportunity,0.4298,0.4787,0.4048,45.0,7.2,279,3,0.3769,0
U2354,P00530,A0150,26-35,Female,Delhi,Computer Science,2.7,Bachelors,692,16,Machine Learning,Image,0.1204,0.5838,0.5858,23.0,1.7,224,5,0.3865,1
U2712,P00361,A0364,18-25,Female,Mumbai,Computer Science,3.7,Bachelors,609,26,Data Science,Image,0.5627,0.2294,0.8703,3.0,9.2,1851,2,0.653,1
U2400,P00067,A1544,26-35,Male,Kolkata,Other,2.2,Masters,304,18,Finance,Job Opportunity,0.2776,0.459,0.8841,22.7,5.4,185,2,0.5943,1
U2695,P04301,A1077,46-55,Female,Kolkata,Data Science,4.8,Bachelors,553,21,Design,Job Opportunity,0.341,0.8025,0.5029,1.3,3.2,181,2,0.6799,0
U0063,P00751,A0391,26-35,Male,Mumbai,Marketing,1.9,Masters,562,21,Machine Learning,Image,0.4381,0.465,0.6941,0.8,11.8,329,2,0.6366,1
U1385,P02434,A0111,56+,Female,Mumbai,Engineering,8.9,PhD,196,19,AI,Text,0.0926,0.5626,0.5602,7.0,2.3,255,3,0.4957,0
U0505,P00339,A0309,26-35,Female,Kolkata,Design,4.7,Bachelors,152,22,AI,Video,0.0737,0.4571,0.8394,27.2,5.7,290,4,0.4712,1
U2710,P00377,A1275,36-45,Female,Bengaluru,Engineering,10.0,Bachelors,463,22,Software,Image,0.2704,0.4248,0.7204,78.6,22.9,558,1,0.493,1
U2210,P00576,A0557,18-25,Male,Other,Computer Science,5.8,Diploma,254,16,Career,Text,0.4254,0.6005,0.7878,59.1,3.4,643,1,0.6189,0
U1525,P01780,A1201,36-45,Female,Delhi,Business,8.7,PhD,100,10,Software,Video,0.4664,0.4137,0.3696,17.2,6.4,343,4,0.334,0
U2347,P04990,A0957,46-55,Female,Hyderabad,Engineering,9.5,Bachelors,53,26,Design,Image,0.5153,0.5674,0.0845,10.4,3.9,241,2,0.4753,0
U1280,P03112,A0226,26-35,Female,Chennai,Other,10.1,Bachelors,351,17,Data Science,Job Opportunity,0.4058,0.3819,0.8033,43.8,4.8,222,4,0.4719,1
U1338,P01158,A0290,26-35,Male,Pune,Business,10.0,Bachelors,637,20,Marketing,Article,0.292,0.6281,0.4689,4.1,2.2,415,2,0.5953,1
U1350,P02766,A0078,18-25,Female,Mumbai,HR,4.6,Diploma,62,17,Career,Video,0.1367,0.7589,0.609,6.2,2.4,267,5,0.5336,0
U2875,P01846,A1090,18-25,Male,Mumbai,Marketing,2.8,Bachelors,116,12,Career,Article,0.5589,0.7857,0.6766,1.1,1.4,201,4,0.6938,0
U1481,P02439,A1176,26-35,Male,Pune,Other,14.3,Bachelors,488,17,AI,Article,0.5099,0.084,0.2856,2.1,3.8,352,1,0.3445,1
U0073,P01624,A1783,46-55,Female,Mumbai,Engineering,9.1,Masters,42,22,Data Science,Article,0.2712,0.2986,0.8655,44.0,2.1,236,4,0.4545,1
U2263,P00758,A0550,26-35,Male,Ahmedabad,Design,10.3,Bachelors,218,17,Finance,Video,0.41,0.4295,0.8095,34.5,3.5,334,3,0.5501,0
U2934,P01899,A1592,46-55,Male,Other,Engineering,3.7,Bachelors,238,16,Design,Article,0.4612,0.5071,0.2275,114.9,3.9,518,1,0.251,0
U0821,P01540,A1304,18-25,Female,Hyderabad,HR,5.3,Masters,280,25,Data Science,Article,0.3165,0.9053,0.466,17.2,5.1,1425,5,0.618,0
U1169,P03051,A1806,36-45,Male,Pune,Business,10.0,Bachelors,401,21,AI,Text,0.4032,0.6017,0.56,35.4,1.8,280,5,0.4969,0
U2430,P04211,A1760,36-45,Female,Hyderabad,Business,13.4,Bachelors,471,12,Leadership,Job Opportunity,0.3314,0.3523,0.7893,6.1,4.6,635,3,0.5231,0
U1937,P02271,A0475,26-35,Male,Delhi,HR,2.7,Bachelors,167,17,Finance,Text,0.1025,0.643,0.6376,24.9,2.3,497,1,0.5668,0
U1890,P04778,A0544,26-35,Female,Hyderabad,Computer Science,6.7,Bachelors,462,23,Software,Video,0.2159,0.2869,0.5118,16.2,0.7,232,2,0.398,1
U2959,P02440,A0379,18-25,Female,Mumbai,Engineering,3.5,Bachelors,273,22,Design,Job Opportunity,0.1971,0.4201,0.5178,14.1,4.7,43,1,0.485,1
U2550,P03347,A1746,26-35,Male,Hyderabad,Engineering,1.1,Bachelors,632,22,AI,Video,0.431,0.4756,0.715,38.9,6.1,207,1,0.6035,1
U0408,P02981,A0777,46-55,Male,Delhi,Computer Science,6.3,Bachelors,263,28,Career,Text,0.4735,0.5967,0.5919,19.5,2.8,852,1,0.7072,1
U1277,P03766,A0769,18-25,Male,Bengaluru,Engineering,4.1,Masters,55,24,Data Science,Text,0.2122,0.5165,0.3716,21.5,9.0,463,2,0.4512,0
U2769,P04055,A0890,46-55,Male,Pune,Computer Science,4.2,Bachelors,218,21,Finance,Text,0.2395,0.6674,0.3557,24.1,8.8,100,1,0.5274,1
U1395,P02571,A1099,46-55,Male,Ahmedabad,Engineering,3.3,Bachelors,253,18,Machine Learning,Article,0.7926,0.4313,0.6607,34.8,1.2,214,5,0.5078,1
U0906,P00982,A0570,36-45,Female,Kolkata,Engineering,3.4,PhD,143,23,Machine Learning,Job Opportunity,0.1915,0.5689,0.9209,4.4,4.8,129,5,0.6068,1
U2101,P03423,A1690,36-45,Female,Delhi,Business,4.2,Bachelors,269,19,Machine Learning,Video,0.3507,0.6524,0.7503,2.8,6.2,93,1,0.7261,1
U0840,P03644,A1180,26-35,Male,Other,Other,0.9,PhD,214,23,Leadership,Text,0.1367,0.1887,0.5544,6.3,11.5,44,4,0.2849,0
U0114,P03240,A1195,26-35,Female,Other,Marketing,6.3,Masters,180,18,AI,Image,0.1006,0.3446,0.3618,71.1,6.9,750,3,0.1917,0
U1228,P01192,A0974,26-35,Male,Bengaluru,Computer Science,6.0,Bachelors,344,16,Marketing,Job Opportunity,0.2134,0.5662,0.492,0.8,4.6,176,1,0.5603,1
U1065,P02467,A1620,26-35,Male,Bengaluru,Design,7.1,Bachelors,230,8,Career,Text,0.1727,0.6347,0.7782,37.7,15.4,319,3,0.5198,1
U1548,P04459,A0783,36-45,Male,Mumbai,Finance,11.6,Bachelors,482,17,Design,Video,0.5266,0.5785,0.5616,27.6,4.1,998,4,0.5569,0
U0016,P01565,A1114,18-25,Female,Mumbai,Business,2.3,PhD,166,14,Data Science,Video,0.2988,0.709,0.9351,5.4,5.2,156,3,0.7166,0
U2464,P02550,A1352,26-35,Female,Ahmedabad,Data Science,12.7,Masters,127,16,Career,Image,0.2842,0.4998,0.267,6.5,5.4,540,2,0.4045,1
U0764,P00064,A1804,18-25,Male,Chennai,Data Science,8.5,Masters,302,13,Marketing,Article,0.1562,0.6162,0.4005,101.3,4.3,187,4,0.2389,0
U1946,P03429,A0105,46-55,Female,Delhi,Other,1.5,Bachelors,245,21,Marketing,Image,0.5426,0.9849,0.7772,10.2,9.2,499,3,0.8301,1
U1486,P02112,A0604,18-25,Male,Kolkata,Engineering,4.7,Bachelors,33,16,AI,Text,0.3785,0.5673,0.8426,15.0,18.0,311,3,0.6341,1
U1611,P02607,A1622,18-25,Female,Kolkata,Data Science,2.1,Bachelors,44,22,Leadership,Text,0.3859,0.7076,0.4769,24.2,3.0,870,2,0.5877,1
U2697,P00711,A1664,36-45,Male,Mumbai,Engineering,4.8,Bachelors,256,23,Leadership,Image,0.2573,0.4433,0.6394,32.0,8.6,1296,2,0.5151,1
U0232,P02889,A1572,26-35,Male,Pune,HR,2.0,Bachelors,451,14,Marketing,Article,0.61,0.5776,0.624,22.0,2.4,488,4,0.5547,0
U1017,P02724,A0353,36-45,Male,Bengaluru,Engineering,5.7,Masters,319,20,Marketing,Job Opportunity,0.1888,0.8137,0.5341,3.6,6.5,877,3,0.6444,1
U2354,P04668,A0574,26-35,Female,Delhi,Computer Science,2.7,Bachelors,692,16,Finance,Video,0.457,0.8989,0.2849,7.3,10.0,89,4,0.5702,1
U1074,P01129,A1432,46-55,Male,Pune,HR,10.8,Diploma,710,20,Leadership,Article,0.3107,0.8752,0.6306,0.4,2.2,426,2,0.7719,1
U1349,P04268,A1365,26-35,Male,Delhi,Finance,2.5,Masters,238,21,Finance,Job Opportunity,0.3054,0.5251,0.7997,25.5,5.1,424,1,0.6516,1
U0073,P03933,A0695,46-55,Female,Mumbai,Engineering,9.1,Masters,42,22,Marketing,Video,0.0954,0.4804,0.4667,22.4,2.9,199,1,0.4682,0
U1808,P02021,A1736,26-35,Female,Bengaluru,Data Science,2.3,Masters,57,23,Finance,Text,0.3648,0.161,0.7202,18.1,6.1,77,2,0.4499,0
U0676,P01705,A0102,26-35,Female,Mumbai,Computer Science,3.0,Masters,324,20,Software,Text,0.2587,0.7254,0.4713,9.5,15.8,202,1,0.6272,1
U0184,P03928,A1467,26-35,Male,Hyderabad,Other,5.0,Bachelors,355,18,Finance,Image,0.3248,0.723,0.4262,28.7,9.0,232,1,0.5839,1
U2853,P02790,A0434,36-45,Male,Mumbai,Finance,4.9,Masters,189,17,Design,Article,0.3475,0.7964,0.5298,4.3,6.3,183,2,0.6793,0
U1552,P02357,A1508,26-35,Female,Chennai,Data Science,4.2,Masters,435,16,Leadership,Job Opportunity,0.4401,0.7363,0.3457,34.1,0.9,886,2,0.5207,0
U0650,P03034,A0121,18-25,Female,Bengaluru,Marketing,4.4,Bachelors,62,17,Marketing,Text,0.6629,0.3536,0.7918,3.7,3.3,207,2,0.6527,1
U1046,P02218,A0720,26-35,Male,Other,Marketing,10.8,Masters,950,18,Machine Learning,Text,0.6237,0.3219,0.419,88.8,13.2,83,4,0.2763,1
U2399,P04663,A1850,18-25,Female,Other,Computer Science,1.6,Bachelors,762,15,Finance,Article,0.4225,0.5148,0.2687,87.4,2.4,339,2,0.2629,0
U1422,P03543,A1488,26-35,Male,Delhi,Computer Science,4.2,Diploma,186,15,AI,Article,0.1394,0.6891,0.6755,25.5,2.1,661,3,0.5435,0
U0885,P03566,A1963,18-25,Female,Other,Data Science,6.7,Bachelors,121,19,Data Science,Text,0.6399,0.4549,0.2079,83.9,1.1,379,1,0.3318,1
U0377,P02124,A0809,46-55,Male,Delhi,Other,4.1,Masters,220,22,Career,Job Opportunity,0.4804,0.6673,0.3696,13.9,5.5,321,3,0.563,1
U0025,P01674,A1636,36-45,Male,Ahmedabad,Engineering,9.2,Bachelors,181,21,Finance,Video,0.2542,0.6355,0.6862,28.0,6.1,1154,3,0.5906,1
U2771,P01881,A1295,18-25,Female,Mumbai,Finance,2.2,Diploma,202,21,Career,Text,0.086,0.5956,0.5211,44.7,8.5,145,2,0.4386,0
U0090,P02141,A0982,26-35,Female,Chennai,Finance,4.4,Bachelors,132,21,Machine Learning,Article,0.4725,0.8864,0.7106,68.7,12.1,220,4,0.6504,1
U0049,P04849,A1347,36-45,Female,Delhi,Other,6.3,Masters,152,12,AI,Video,0.3347,0.7878,0.2006,77.4,3.2,126,3,0.3295,0
U0091,P03637,A0812,18-25,Female,Mumbai,Engineering,3.7,Bachelors,539,23,Career,Article,0.1849,0.3539,0.4847,8.8,1.2,821,2,0.4222,1
U2663,P01592,A1489,26-35,Male,Other,Data Science,8.6,Masters,136,13,Software,Text,0.5401,0.7973,0.6569,112.5,7.9,280,3,0.5146,0
U1346,P02337,A1154,26-35,Female,Pune,HR,2.6,Bachelors,324,26,Software,Job Opportunity,0.1751,0.6985,0.4325,48.9,3.8,191,4,0.4298,1
U2939,P03170,A0156,18-25,Female,Bengaluru,Finance,8.8,Bachelors,176,18,Data Science,Text,0.1823,0.7549,0.3134,21.7,1.4,300,2,0.5104,0
U2787,P03704,A0729,36-45,Female,Hyderabad,Engineering,5.8,Bachelors,1546,16,Leadership,Job Opportunity,0.2512,0.653,0.5247,63.5,11.7,151,1,0.4937,0
U1490,P03271,A1255,26-35,Male,Mumbai,Engineering,3.1,Masters,157,18,Data Science,Video,0.2662,0.6695,0.9677,13.0,7.8,176,2,0.7463,1
U1065,P02746,A1430,26-35,Male,Bengaluru,Design,7.1,Bachelors,230,8,Finance,Job Opportunity,0.5643,0.8124,0.7508,8.3,0.6,1005,3,0.7415,1
U2646,P01980,A0340,46-55,Male,Bengaluru,Computer Science,4.2,Bachelors,56,20,Leadership,Job Opportunity,0.472,0.5937,0.7942,0.7,14.0,525,4,0.6837,1
U0222,P04183,A0945,26-35,Female,Delhi,Data Science,5.6,Bachelors,124,16,Data Science,Video,0.1648,0.885,0.8719,84.6,15.2,346,3,0.6152,1
U0342,P00499,A0940,56+,Female,Other,Computer Science,5.4,Bachelors,73,18,Career,Video,0.4861,0.2357,0.3758,30.2,2.4,209,5,0.239,0
U2293,P00318,A0331,26-35,Female,Bengaluru,Computer Science,5.1,Masters,918,20,Marketing,Text,0.5151,0.4845,0.5078,2.7,4.4,555,2,0.5906,1
U2757,P02553,A1631,46-55,Male,Delhi,Other,6.3,Masters,79,20,Data Science,Video,0.1554,0.2868,0.6919,27.0,1.7,144,3,0.3909,0
U1835,P03993,A0964,18-25,Male,Hyderabad,Data Science,2.0,Masters,258,25,Leadership,Video,0.5868,0.3409,0.2497,16.0,8.5,982,3,0.385,1
U0584,P04291,A0900,26-35,Female,Mumbai,HR,5.1,Masters,562,11,Finance,Job Opportunity,0.3339,0.4769,0.5796,6.6,2.7,385,3,0.4668,0
U0496,P04030,A1052,26-35,Female,Mumbai,Computer Science,1.6,Diploma,549,21,Data Science,Job Opportunity,0.1269,0.2045,0.7285,25.6,3.6,115,1,0.414,1
U1378,P03798,A1984,46-55,Male,Other,Data Science,12.8,Bachelors,194,17,Marketing,Article,0.5193,0.5915,0.8129,10.4,3.5,754,3,0.7049,1
U0243,P02044,A0004,18-25,Female,Mumbai,Computer Science,2.2,Diploma,79,15,AI,Text,0.2504,0.915,0.6814,51.3,3.4,106,1,0.6833,0
U2697,P01848,A1989,36-45,Male,Mumbai,Engineering,4.8,Bachelors,256,23,Machine Learning,Video,0.6424,0.403,0.7161,28.7,2.2,245,4,0.5745,1
U0074,P01575,A0703,18-25,Female,Delhi,Engineering,5.6,Bachelors,152,13,Finance,Job Opportunity,0.0739,0.5691,0.3121,38.0,5.8,270,1,0.3418,0
U2992,P01565,A1859,46-55,Female,Delhi,Data Science,1.9,Bachelors,271,23,Data Science,Video,0.2988,0.7416,0.501,5.4,5.2,156,2,0.6427,1
U1887,P02054,A1505,18-25,Male,Delhi,Marketing,20.7,Diploma,215,18,Software,Article,0.3442,0.8277,0.6519,24.2,4.3,606,2,0.7504,1
U1831,P01506,A1493,26-35,Female,Other,Engineering,7.2,Bachelors,237,15,AI,Job Opportunity,0.5699,0.5722,0.4782,4.9,12.4,289,5,0.485,0
U0466,P02775,A1094,36-45,Female,Ahmedabad,Data Science,7.0,Masters,99,14,Finance,Article,0.439,0.7806,0.542,0.7,4.1,440,4,0.6137,0
U0076,P03229,A1560,26-35,Female,Pune,Computer Science,12.7,Masters,253,25,AI,Video,0.2914,0.2038,0.8125,34.1,1.1,122,2,0.5012,0
U2173,P00026,A0556,26-35,Female,Hyderabad,HR,11.2,Diploma,152,17,Career,Image,0.3242,0.5986,0.8396,17.8,1.3,399,3,0.6573,1
U0558,P00027,A0970,26-35,Female,Mumbai,Engineering,3.1,Bachelors,123,18,Marketing,Video,0.7049,0.8613,0.5757,105.8,1.6,456,2,0.6237,0
U1983,P00407,A1178,46-55,Male,Other,Computer Science,3.8,Bachelors,151,23,Machine Learning,Video,0.3083,0.4285,0.7442,69.9,1.2,326,3,0.4338,1
U1002,P03855,A0062,26-35,Male,Other,Engineering,5.0,Diploma,294,16,Finance,Article,0.546,0.6874,0.807,12.0,8.8,760,3,0.7171,1
U2186,P03779,A0980,18-25,Female,Other,Finance,9.8,Masters,97,18,Marketing,Article,0.4904,0.2357,0.3377,8.5,7.6,108,4,0.2998,0
U1432,P00044,A0387,26-35,Female,Hyderabad,Engineering,6.1,PhD,90,11,Leadership,Article,0.3719,0.889,0.4487,3.1,0.8,158,2,0.6546,1
U0076,P01219,A0808,26-35,Female,Pune,Computer Science,12.7,Masters,253,25,Career,Text,0.3291,0.2734,0.5003,27.7,12.5,218,2,0.427,1
U0931,P03859,A0907,26-35,Male,Delhi,Computer Science,2.6,Bachelors,541,19,Design,Video,0.2821,0.2477,0.5321,24.3,1.6,972,2,0.3615,0
U0563,P03220,A1306,46-55,Female,Mumbai,Computer Science,5.9,Bachelors,205,17,Marketing,Article,0.1091,0.6097,0.5338,180.8,14.1,209,1,0.236,0
U2233,P01844,A1838,18-25,Male,Other,Computer Science,2.1,Diploma,160,21,Marketing,Text,0.5171,0.6467,0.86,28.9,8.4,45,4,0.6725,1
U2233,P03984,A0740,18-25,Male,Other,Computer Science,2.1,Diploma,160,21,Marketing,Image,0.334,0.3202,0.5675,5.1,2.1,112,4,0.3913,1
U1167,P01784,A1385,46-55,Male,Chennai,Business,4.9,Bachelors,236,17,Data Science,Text,0.4307,0.5197,0.5743,21.6,5.1,124,2,0.5467,0
U1364,P02659,A0712,18-25,Female,Ahmedabad,Engineering,7.4,Masters,243,23,AI,Article,0.2921,0.7024,0.469,8.9,16.3,303,4,0.5475,0
U0310,P01399,A1275,18-25,Male,Chennai,Engineering,1.4,Bachelors,284,20,Leadership,Image,0.6153,0.4326,0.4855,51.4,7.5,572,2,0.4627,0
U2618,P04611,A1542,46-55,Female,Chennai,Computer Science,5.6,Diploma,360,16,Finance,Article,0.1259,0.5116,0.6597,55.0,4.9,190,2,0.419,0
U0892,P01449,A0690,56+,Female,Bengaluru,Marketing,3.0,Bachelors,65,17,Machine Learning,Job Opportunity,0.6349,0.4902,0.591,17.7,1.2,600,2,0.5984,1
U1199,P02875,A1282,26-35,Male,Chennai,Engineering,4.1,Masters,257,18,Career,Job Opportunity,0.4098,0.3315,0.3925,12.9,9.1,321,3,0.3617,1
U1019,P02022,A1523,18-25,Male,Mumbai,Data Science,7.9,Masters,222,11,AI,Image,0.3854,0.2566,0.5851,96.8,3.6,194,2,0.2616,0
U2872,P02878,A0810,26-35,Male,Ahmedabad,Design,7.4,PhD,305,18,Leadership,Article,0.3801,0.2892,0.5467,7.2,2.3,831,1,0.4759,1
U2740,P02741,A0865,26-35,Male,Hyderabad,Engineering,10.3,Masters,596,12,Finance,Article,0.1967,0.6013,0.2022,12.2,6.5,644,2,0.3805,0
U1668,P03720,A0602,18-25,Male,Bengaluru,Computer Science,10.5,Bachelors,83,14,Machine Learning,Text,0.3397,0.6533,0.247,14.5,9.0,673,1,0.5098,1
U0993,P03439,A1950,36-45,Male,Other,Finance,2.6,Bachelors,114,14,Career,Article,0.0762,0.7579,0.7781,9.6,0.9,227,3,0.6066,1
U0399,P01601,A0479,26-35,Female,Pune,HR,4.1,Diploma,147,21,Machine Learning,Video,0.3673,0.5881,0.7802,3.4,9.5,212,4,0.6354,1
U2247,P02227,A0655,18-25,Male,Mumbai,Data Science,21.3,PhD,226,19,Finance,Article,0.4909,0.6857,0.4314,3.4,1.2,138,4,0.6373,1
