intersection_type,intersection,sample_count,statistically_unstable,exposure_DI,selection_DI,fairness_DI
Gender x Age x Location (3-Way),Female x 36-45 x Delhi,41,False,0.6516648325337184,0.926829268292683,0.6516648325337184
Gender x Age x Location (3-Way),Female x 36-45 x Hyderabad,21,True,0.7267755342005768,1.0,0.7267755342005768
Gender x Age x Location (3-Way),Female x 36-45 x Kolkata,21,True,0.5261436188272857,0.7619047619047619,0.5261436188272857
Gender x Age x Location (3-Way),Female x 36-45 x Mumbai,91,False,0.5953896462574321,0.9010989010989011,0.5953896462574321
Gender x Age x Location (3-Way),Female x 36-45 x Other,43,False,0.6096924829996243,0.8604651162790697,0.6096924829996243
Gender x Age x Location (3-Way),Female x 36-45 x Pune,47,False,0.6175791645926565,0.9148936170212766,0.6175791645926565
Gender x Age x Location (3-Way),Female x 46-55 x Bengaluru,19,True,0.7449398247355807,1.0,0.7449398247355807
Gender x Age x Location (3-Way),Female x 46-55 x Chennai,14,True,0.4568990866686209,0.7142857142857143,0.4568990866686209
Gender x Age x Location (3-Way),Female x 46-55 x Delhi,27,True,0.47382127506375493,0.7407407407407407,0.47382127506375493
Gender x Age x Location (3-Way),Female x 46-55 x Hyderabad,47,False,0.6270285872830564,0.9361702127659575,0.6270285872830564
Gender x Age x Location (3-Way),Female x 46-55 x Kolkata,21,True,0.3045993911124139,0.47619047619047616,0.3045993911124139
Gender x Age x Location (3-Way),Female x 46-55 x Mumbai,39,False,0.5880449522281649,0.8717948717948718,0.5880449522281649
Gender x Age x Location (3-Way),Female x 46-55 x Other,23,True,0.7030749349307853,1.0,0.7030749349307853
Gender x Age x Location (3-Way),Female x 46-55 x Pune,39,False,0.49204517025851474,0.7692307692307693,0.49204517025851474
Gender x Age x Location (3-Way),Female x 56+ x Bengaluru,28,True,0.6085231174441552,0.8928571428571429,0.6085231174441552
Gender x Age x Location (3-Way),Female x 56+ x Chennai,30,False,0.42643914755737955,0.6666666666666666,0.42643914755737955
Gender x Age x Location (3-Way),Female x 56+ x Delhi,4,True,0.9015805098754106,1.0,0.9015805098754106
Gender x Age x Location (3-Way),Female x 56+ x Hyderabad,12,True,0.5330489344467244,0.8333333333333334,0.5330489344467244
Gender x Age x Location (3-Way),Female x 56+ x Mumbai,6,True,0.7754047970020512,1.0,0.7754047970020512
Gender x Age x Location (3-Way),Female x 56+ x Other,15,True,0.42643914755737955,0.6666666666666666,0.42643914755737955
Gender x Age x Location (3-Way),Female x 56+ x Pune,31,False,0.592769348370561,0.9032258064516129,0.592769348370561
Gender x Age x Location (3-Way),Male x 18-25 x Ahmedabad,46,False,0.5473781072422917,0.8478260869565217,0.5473781072422917
Gender x Age x Location (3-Way),Male x 18-25 x Bengaluru,116,False,0.6578385140894943,0.9482758620689655,0.6578385140894943
Gender x Age x Location (3-Way),Male x 18-25 x Chennai,50,False,0.6752258854292378,0.98,0.6752258854292378
Gender x Age x Location (3-Way),Male x 18-25 x Delhi,135,False,0.5835949577523373,0.8592592592592593,0.5835949577523373
Gender x Age x Location (3-Way),Male x 18-25 x Hyderabad,76,False,0.6053619674452815,0.8947368421052632,0.6053619674452815
Gender x Age x Location (3-Way),Male x 18-25 x Kolkata,21,True,0.7304746030729159,1.0,0.7304746030729159
Gender x Age x Location (3-Way),Male x 18-25 x Mumbai,133,False,0.632139867145184,0.9548872180451128,0.632139867145184
Gender x Age x Location (3-Way),Male x 18-25 x Other,144,False,0.6104691132470706,0.9444444444444444,0.6104691132470706
Gender x Age x Location (3-Way),Male x 18-25 x Pune,62,False,0.5092900023630018,0.7903225806451613,0.5092900023630018
Gender x Age x Location (3-Way),Male x 26-35 x Ahmedabad,9,True,0.6655145881181498,1.0,0.6655145881181498
Gender x Age x Location (3-Way),Male x 26-35 x Bengaluru,125,False,0.6292910960668288,0.92,0.6292910960668288
Gender x Age x Location (3-Way),Male x 26-35 x Chennai,86,False,0.5554305302067848,0.8372093023255814,0.5554305302067848
Gender x Age x Location (3-Way),Male x 26-35 x Delhi,80,False,0.5981208793922277,0.9,0.5981208793922277
Gender x Age x Location (3-Way),Male x 26-35 x Hyderabad,112,False,0.6323255360612245,0.9464285714285714,0.6323255360612245
Gender x Age x Location (3-Way),Male x 26-35 x Kolkata,55,False,0.5741087299364749,0.8909090909090909,0.5741087299364749
Gender x Age x Location (3-Way),Male x 26-35 x Mumbai,104,False,0.6546990049837044,0.9615384615384616,0.6546990049837044
Gender x Age x Location (3-Way),Male x 26-35 x Other,78,False,0.5805620509858249,0.8589743589743589,0.5805620509858249
Gender x Age x Location (3-Way),Male x 26-35 x Pune,99,False,0.5986363471849488,0.898989898989899,0.5986363471849488
Gender x Age x Location (3-Way),Male x 36-45 x Ahmedabad,9,True,0.6655145881181498,1.0,0.6655145881181498
Gender x Age x Location (3-Way),Male x 36-45 x Bengaluru,78,False,0.5688353150413782,0.8846153846153846,0.5688353150413782
Gender x Age x Location (3-Way),Male x 36-45 x Chennai,58,False,0.6086745973282814,0.9137931034482759,0.6086745973282814
Gender x Age x Location (3-Way),Male x 36-45 x Delhi,56,False,0.6396688037182336,0.9642857142857143,0.6396688037182336
Gender x Age x Location (3-Way),Male x 36-45 x Hyderabad,55,False,0.6347821040550023,0.9454545454545454,0.6347821040550023
Gender x Age x Location (3-Way),Male x 36-45 x Kolkata,44,False,0.522987126891308,0.7727272727272727,0.522987126891308
Gender x Age x Location (3-Way),Male x 36-45 x Mumbai,110,False,0.5792945381596156,0.8636363636363636,0.5792945381596156
Gender x Age x Location (3-Way),Male x 36-45 x Other,59,False,0.5351861041780698,0.8305084745762712,0.5351861041780698
Gender x Age x Location (3-Way),Male x 36-45 x Pune,16,True,0.6592209144046496,0.9375,0.6592209144046496
Gender x Age x Location (3-Way),Male x 46-55 x Ahmedabad,17,True,0.6797330392674829,1.0,0.6797330392674829
Gender x Age x Location (3-Way),Male x 46-55 x Bengaluru,59,False,0.4909135242394821,0.7288135593220338,0.4909135242394821
Gender x Age x Location (3-Way),Male x 46-55 x Chennai,24,True,0.6922852654107026,1.0,0.6922852654107026
Gender x Age x Location (3-Way),Male x 46-55 x Delhi,19,True,0.7562740301899931,1.0,0.7562740301899931
Gender x Age x Location (3-Way),Male x 46-55 x Hyderabad,5,True,0.8301894834227401,1.0,0.8301894834227401
Gender x Age x Location (3-Way),Male x 46-55 x Kolkata,19,True,0.6519062371802127,1.0,0.6519062371802127
Gender x Age x Location (3-Way),Male x 46-55 x Mumbai,30,False,0.6260935239928244,0.9666666666666667,0.6260935239928244
Gender x Age x Location (3-Way),Male x 46-55 x Other,19,True,0.6296009256760291,0.9473684210526315,0.6296009256760291
Gender x Age x Location (3-Way),Male x 46-55 x Pune,26,True,0.6748112677157907,1.0,0.6748112677157907
Gender x Age x Location (3-Way),Male x 56+ x Ahmedabad,15,True,0.42643914755737955,0.6666666666666666,0.42643914755737955
Gender x Age x Location (3-Way),Male x 56+ x Bengaluru,17,True,0.7896236671919097,1.0,0.7896236671919097
Gender x Age x Location (3-Way),Male x 56+ x Chennai,19,True,0.6062260379681976,0.8947368421052632,0.6062260379681976
Gender x Age x Location (3-Way),Male x 56+ x Delhi,3,True,1.0,1.0,1.0
Gender x Age x Location (3-Way),Male x 56+ x Hyderabad,36,False,0.6161299095650201,0.8888888888888888,0.6161299095650201
Gender x Age x Location (3-Way),Male x 56+ x Kolkata,17,True,0.6797330392674829,1.0,0.6797330392674829
Gender x Age x Location (3-Way),Male x 56+ x Mumbai,33,False,0.5691759309025676,0.8787878787878788,0.5691759309025676
Gender x Age x Location (3-Way),Male x 56+ x Other,35,False,0.5366515919938495,0.8285714285714286,0.5366515919938495
Gender x Age x Location (3-Way),Male x 56+ x Pune,7,True,0.7316725011478662,1.0,0.7316725011478662
