user_id,gender,age_group,location,candidate_count,baseline_top10_posts,fairness_top10_posts,items_entering_top10,items_leaving_top10,num_items_entering,changed_positions_count,baseline_top10_scores,fairness_top10_scores,baseline_top10_mean_score,fairness_top10_mean_score,score_changed,ranking_changed,top_k_membership_changed
U0229,Female,36-45,Bengaluru,12,P03791;P03625;P02019;P01695;P00931;P02314;P01436;P02158;P00700;P04169,P03791;P00931;P01717;P03625;P01695;P02314;P02019;P04169;P02158;P00700,P01717,P01436,1,9,0.7821;0.7726;0.6610;0.6470;0.5999;0.5978;0.5249;0.4733;0.4110;0.3841,0.5599;0.5063;0.5000;0.4892;0.4735;0.4516;0.4429;0.3364;0.3042;0.2986,0.5853666067123413,0.43626474959913886,True,True,True
U0242,Female,36-45,Mumbai,12,P01247;P04241;P03375;P04976;P00122;P02090;P04977;P04237;P01407;P00600,P04241;P04976;P03375;P04237;P01247;P01407;P00122;P04977;P00600;P02028,P02028,P02090,1,10,0.6328;0.5800;0.5765;0.5639;0.5182;0.4922;0.4574;0.4548;0.4445;0.4346,0.7793;0.7474;0.6906;0.6785;0.6528;0.5998;0.5368;0.4443;0.4154;0.3529,0.5154837965965271,0.5897877144996148,True,True,True
U0162,Female,46-55,Pune,12,P04749;P04627;P03519;P04852;P04831;P03783;P02466;P04458;P04100;P02607,P04458;P02607;P04831;P02466;P04749;P03519;P04852;P04627;P03093;P03783,P03093,P04100,1,12,0.7584;0.6088;0.4970;0.4908;0.4803;0.4799;0.4331;0.4330;0.3422;0.3281,0.6336;0.5792;0.5111;0.5067;0.5000;0.4987;0.4577;0.4518;0.4334;0.4092,0.4851643443107605,0.49812862289381304,True,True,True
U0194,Female,46-55,Pune,15,P01269;P02242;P03801;P01565;P01415;P02488;P04447;P03323;P04363;P02160,P04633;P01269;P04447;P02242;P01565;P04363;P03323;P02488;P03801;P02160,P04633,P01415,1,14,0.6335;0.6117;0.6054;0.5433;0.5423;0.5335;0.5142;0.5062;0.4642;0.4615,0.7526;0.6542;0.6381;0.6288;0.6172;0.6090;0.5856;0.5290;0.5278;0.4953,0.5415834188461304,0.6037718770217089,True,True,True
U0296,Female,46-55,Kolkata,21,P02272;P04730;P02613;P03712;P01108;P04891;P00304;P00563;P00612;P02158,P00304;P01108;P03712;P00746;P00563;P02272;P04730;P00612;P02158;P04739,P00746;P04739,P02613;P04891,2,20,0.8124;0.7227;0.6908;0.6788;0.6565;0.6216;0.6179;0.6005;0.5596;0.5589,0.6494;0.6327;0.6100;0.5967;0.5649;0.5649;0.5645;0.5603;0.5491;0.5486,0.6519745588302612,0.5841192246088209,True,True,True
U0034,Male,26-35,Mumbai,11,P04999;P03726;P03818;P04503;P02523;P04247;P01072;P00671;P03219;P01285,P03818;P04999;P03726;P00706;P00671;P01072;P04503;P03219;P02523;P01285,P00706,P04247,1,10,0.7595;0.7058;0.6188;0.5655;0.5210;0.4919;0.4860;0.4423;0.4238;0.2380,0.6419;0.5832;0.5671;0.5000;0.4968;0.4819;0.4619;0.4235;0.3430;0.3265,0.5252567529678345,0.4825820558237927,True,True,True
U0044,Male,26-35,Other,3,P01191;P03925;P03611,P03925;P01191;P03611,None,None,0,2,0.5913;0.5454;0.2498,0.9328;0.5000;0.4882,0.4621617794036865,0.6403520722498154,True,True,False
U0058,Male,26-35,Hyderabad,9,P04249;P03506;P00893;P00620;P00786;P04328;P04463;P02203;P02961,P04328;P04249;P00893;P03506;P02961;P04463;P02203;P00620;P00786,None,None,0,8,0.7317;0.7090;0.5972;0.5841;0.5579;0.4765;0.3622;0.3407;0.1993,0.7604;0.7019;0.6467;0.5152;0.4752;0.4634;0.4041;0.4018;0.3368,0.5065119862556458,0.522835899137613,True,True,False
U0233,Male,56+,Kolkata,9,P04673;P03178;P00962;P04282;P01802;P01068;P02149;P03466;P01282,P03178;P04282;P04673;P01802;P01282;P00962;P03466;P01068;P02149,None,None,0,9,0.7171;0.7056;0.6801;0.6625;0.6579;0.6556;0.4193;0.3893;0.2408,0.7934;0.7768;0.6090;0.5922;0.5000;0.4664;0.4542;0.4355;0.4321,0.5697858929634094,0.5621806547583206,True,True,False
U0320,Male,56+,Hyderabad,8,P03877;P02426;P04168;P00263;P03066;P01677;P01488;P01804,P02426;P03877;P01488;P03066;P04168;P00263;P01804;P01677,None,None,0,8,0.7789;0.6718;0.5940;0.5894;0.5677;0.5666;0.4739;0.4458,0.8392;0.5000;0.4474;0.3950;0.3935;0.3012;0.2512;0.2479,0.586013674736023,0.4219276525080122,True,True,False
U0468,Male,56+,Chennai,12,P01062;P00526;P01098;P00885;P01108;P03101;P00078;P03960;P02342;P03127,P00885;P01098;P03101;P02342;P00078;P01108;P03960;P01062;P00526;P03127,None,None,0,9,0.7091;0.6491;0.6216;0.5903;0.5688;0.4811;0.4729;0.4088;0.4085;0.3806,0.5860;0.5847;0.5819;0.5759;0.5577;0.5477;0.5140;0.5000;0.4991;0.4247,0.5290798544883728,0.5371713230056303,True,True,False
U0050,Male,18-25,Pune,10,P00929;P03140;P04141;P04184;P02121;P01599;P02989;P02687;P00094;P03095,P00094;P02687;P02989;P00929;P04141;P01599;P04184;P03140;P02121;P03095,None,None,0,8,0.7016;0.5122;0.5036;0.4678;0.4159;0.3694;0.3208;0.2487;0.2374;0.1085,0.6087;0.5755;0.5082;0.5000;0.4831;0.4617;0.4567;0.4558;0.3821;0.3383,0.3885887563228607,0.47701384199241925,True,True,False
U0089,Male,18-25,Bengaluru,6,P01860;P03381;P03792;P00457;P02457;P01214,P03381;P03792;P02457;P01860;P01214;P00457,None,None,0,6,0.7861;0.7735;0.7614;0.6870;0.5714;0.4342,0.6117;0.5606;0.5112;0.5000;0.5000;0.4883,0.6689327359199524,0.528641268450973,True,True,False
U0098,Male,18-25,Pune,14,P02407;P01099;P01317;P04433;P00503;P02066;P02918;P04518;P01539;P04152,P01099;P01397;P01217;P02918;P02407;P04433;P04518;P01539;P01317;P02066,P01217;P01397,P00503;P04152,2,14,0.6767;0.6363;0.5846;0.5544;0.4944;0.4743;0.4543;0.4387;0.4352;0.4148,0.6762;0.5703;0.5480;0.5250;0.5000;0.4976;0.4362;0.4330;0.4200;0.4187,0.5163679122924805,0.5025053580907024,True,True,True
U0080,Male,36-45,Ahmedabad,9,P01003;P01369;P04637;P00474;P02463;P00578;P04106;P04001;P04758,P04637;P04106;P01369;P01003;P02463;P00474;P04001;P00578;P04758,None,None,0,7,0.7160;0.6387;0.5616;0.5389;0.4874;0.4585;0.3622;0.2651;0.2493,0.8346;0.5569;0.5339;0.5000;0.4363;0.3450;0.3350;0.3006;0.2008,0.47529470920562744,0.44922987449887014,True,True,False
