user_id,post_id,recommendation_score,interaction,rank
U0014,P03168,0.5288837,1,6
U0014,P00992,0.50346935,1,7
U0014,P03519,0.47346476,0,8
U0014,P02055,0.32553083,1,9
U0014,P01482,0.32185516,1,10
U0015,P00463,0.79505396,1,1
U0015,P04008,0.628912,1,2
U0015,P04807,0.6028277,0,3
U0015,P03515,0.5834915,0,4
U0015,P02232,0.55900395,1,5
U0015,P01982,0.45415762,1,6
U0015,P01538,0.4353652,0,7
U0015,P03187,0.41951776,0,8
U0015,P03541,0.38024205,1,9
U0015,P01129,0.37973395,0,10
U0016,P01565,0.7277685,0,1
U0016,P03695,0.6585688,0,2
U0016,P01990,0.6104638,0,3
U0016,P04069,0.55158424,1,4
U0016,P04579,0.50562817,0,5
U0016,P01338,0.50202966,1,6
U0016,P02326,0.4908418,1,7
U0016,P04803,0.44901183,0,8
U0016,P01480,0.42797548,0,9
U0016,P03118,0.40264255,0,10
U0017,P04008,0.8100979,1,1
U0017,P03828,0.7780461,0,2
U0017,P01073,0.60353845,1,3
U0017,P03322,0.5679403,1,4
U0017,P04210,0.49056348,0,5
U0017,P02016,0.48669824,0,6
U0018,P00865,0.5997498,1,1
U0018,P01840,0.5109069,1,2
U0018,P01912,0.49954814,1,3
U0018,P04972,0.4859411,1,4
U0018,P01177,0.47025922,0,5
U0018,P03165,0.4565688,0,6
U0018,P00644,0.43947384,0,7
U0018,P04568,0.30831823,1,8
U0018,P02235,0.25019705,1,9
U0018,P03068,0.19584838,0,10
U0019,P01386,0.8224235,1,1
U0019,P03408,0.8164684,1,2
U0019,P00984,0.7808418,1,3
U0019,P04620,0.7022112,1,4
U0019,P02105,0.633005,0,5
U0019,P00724,0.54597545,1,6
U0019,P04205,0.47593784,1,7
U0019,P04246,0.44386876,0,8
U0019,P02871,0.43594635,0,9
U0019,P02116,0.35912654,0,10
U0020,P01921,0.7044686,1,1
U0020,P02133,0.6398958,1,2
U0020,P01002,0.61375076,0,3
U0020,P04743,0.56121993,0,4
U0020,P02146,0.55333084,1,5
U0020,P03076,0.5196549,0,6
U0020,P02622,0.5155951,1,7
U0020,P04666,0.48322734,1,8
U0020,P02505,0.46293214,1,9
U0021,P04404,0.7739742,1,1
U0021,P04728,0.65844584,1,2
U0021,P01106,0.6316401,0,3
U0021,P01049,0.5973581,1,4
U0021,P04180,0.57427996,0,5
U0021,P04955,0.57187307,1,6
U0021,P02973,0.57179105,1,7
U0021,P03209,0.55444866,1,8
U0021,P03530,0.5405134,0,9
U0021,P04838,0.49442416,1,10
U0022,P01777,0.54427767,1,1
U0022,P01401,0.4822235,0,2
U0022,P04725,0.46669134,0,3
U0022,P00534,0.41255972,0,4
U0022,P03539,0.32534134,1,5
U0023,P01067,0.7764505,1,1
U0023,P02297,0.74333197,1,2
U0023,P02525,0.7133328,1,3
U0023,P03818,0.70186764,0,4
U0023,P03607,0.6976347,1,5
U0023,P04614,0.6723108,1,6
U0023,P02333,0.6332893,0,7
U0023,P04852,0.5551619,1,8
U0023,P04394,0.5292115,1,9
U0023,P03024,0.5259803,1,10
U0024,P02672,0.8031439,1,1
U0024,P00638,0.67208165,1,2
U0024,P03987,0.62694436,1,3
U0024,P00910,0.6138699,0,4
U0024,P03378,0.50842977,0,5
U0024,P02847,0.471575,0,6
U0024,P02087,0.43053374,0,7
U0024,P02299,0.40892017,0,8
U0024,P04333,0.25955436,0,9
U0024,P03807,0.24424374,0,10
U0025,P03694,0.8451414,1,1
U0025,P04502,0.7818681,0,2
U0025,P02980,0.6595045,1,3
U0025,P01674,0.6507992,1,4
U0025,P02230,0.64989287,1,5
U0025,P00690,0.5815356,1,6
U0025,P02749,0.5769222,0,7
U0025,P02832,0.5661846,1,8
U0025,P04162,0.5136886,0,9
U0025,P04055,0.4597321,1,10
U0026,P01425,0.70141715,0,1
U0026,P00205,0.668738,1,2
U0026,P03275,0.6482155,1,3
U0026,P01609,0.63054204,1,4
U0026,P04281,0.6265498,1,5
U0026,P01229,0.6188489,1,6
U0026,P01956,0.6094163,1,7
U0026,P04772,0.5412728,1,8
U0026,P00276,0.53085494,1,9
U0026,P01760,0.5163905,0,10
U0027,P00302,0.74103475,1,1
U0027,P04871,0.6111703,1,2
U0027,P03726,0.5873097,1,3
U0027,P03050,0.5371825,0,4
U0027,P01914,0.5257619,0,5
U0027,P03911,0.52467173,1,6
U0027,P00511,0.52438176,1,7
U0027,P03688,0.49428666,0,8
U0027,P04433,0.46998572,0,9
U0027,P01961,0.3813812,0,10
U0028,P04545,0.6120645,0,1
U0028,P01678,0.58098,0,2
U0028,P02466,0.51647305,1,3
U0028,P00580,0.42117187,0,4
U0028,P03139,0.3878026,0,5
U0028,P04606,0.27804288,0,6
U0028,P01397,0.24175756,0,7
U0028,P01461,0.19887653,1,8
U0029,P00077,0.6861516,1,1
U0029,P01349,0.6459422,1,2
U0029,P01556,0.61291665,1,3
U0029,P02904,0.6007427,1,4
U0029,P04215,0.5969333,1,5
U0029,P01341,0.52718085,1,6
U0029,P04649,0.5137576,0,7
U0029,P00525,0.2041571,0,8
U0030,P03069,0.55285096,1,1
U0030,P03623,0.5405288,1,2
U0030,P00948,0.45257792,0,3
U0030,P03567,0.43104374,0,4
U0031,P01896,0.8005501,1,1
U0031,P02913,0.79928696,1,2
U0031,P02678,0.66601163,1,3
U0031,P00339,0.65299284,1,4
U0031,P01843,0.6294157,1,5
U0031,P03821,0.5811969,1,6
U0031,P02767,0.48226345,0,7
U0031,P00051,0.47747308,0,8
U0031,P04785,0.38475615,1,9
U0032,P00956,0.62591386,1,1
U0032,P00025,0.60411996,1,2
U0032,P03022,0.5354015,0,3
U0032,P01744,0.505419,0,4
U0032,P01248,0.49799722,1,5
U0032,P03324,0.38959065,1,6
U0032,P03348,0.38514376,0,7
U0032,P00811,0.35009417,1,8
U0032,P01760,0.26488888,0,9
U0032,P04306,0.25558817,0,10
U0033,P03923,0.78276867,1,1
U0033,P04999,0.6045226,0,2
U0033,P03883,0.60051835,0,3
U0033,P03059,0.5761515,0,4
U0033,P01501,0.52641624,0,5
U0033,P00864,0.45598796,0,6
U0033,P01085,0.3644379,0,7
U0033,P04064,0.3309822,0,8
U0034,P04999,0.76518357,1,1
U0034,P03726,0.6960539,1,2
U0034,P03818,0.5800219,1,3
U0034,P04247,0.53365487,0,4
U0034,P02523,0.5170669,0,5
U0034,P04503,0.51013714,0,6
U0034,P01285,0.45730925,1,7
U0034,P00671,0.45600984,0,8
U0034,P03219,0.44033292,0,9
U0034,P01072,0.43583107,0,10
U0035,P00484,0.6246459,1,1
U0035,P01956,0.6074283,1,2
U0035,P03121,0.4928319,1,3
U0035,P04422,0.44070917,1,4
U0035,P04109,0.41199747,0,5
U0035,P02995,0.38449207,0,6
U0035,P01774,0.3673443,0,7
U0035,P03637,0.3474336,0,8
U0035,P02998,0.273939,0,9
U0035,P00389,0.20454456,0,10
U0036,P02409,0.79098886,1,1
U0036,P01239,0.7622233,1,2
U0036,P03115,0.7542083,1,3
U0036,P00435,0.6878888,1,4
U0036,P02617,0.60684943,1,5
U0036,P02074,0.60520864,1,6
U0036,P02210,0.5564382,0,7
U0036,P04792,0.5388475,1,8
U0036,P01265,0.5387997,1,9
U0036,P04580,0.480601,0,10
U0037,P04359,0.8313297,1,1
U0037,P04334,0.45157441,0,2
U0038,P00591,0.81487525,1,1
U0038,P04977,0.77348816,0,2
U0038,P02785,0.6201046,1,3
U0038,P03397,0.5920649,1,4
U0038,P02253,0.5045206,1,5
U0038,P03663,0.4687822,1,6
U0038,P03784,0.42788127,0,7
U0038,P03171,0.4132896,1,8
U0038,P04961,0.39516792,0,9
U0039,P03682,0.6818466,0,1
U0039,P04654,0.6203956,1,2
U0039,P02230,0.58825064,0,3
U0039,P02355,0.5724651,1,4
U0039,P02840,0.5088276,0,5
U0039,P00965,0.48818815,1,6
U0039,P01375,0.4870483,1,7
U0039,P01657,0.4749761,0,8
U0039,P01255,0.28343967,1,9
U0040,P04145,0.8052213,1,1
U0040,P00387,0.7612497,1,2
U0040,P03199,0.6820405,1,3
U0040,P00652,0.6461085,1,4
U0040,P00266,0.6097989,0,5
U0040,P01024,0.60139745,1,6
U0040,P02846,0.5957348,1,7
U0040,P00320,0.5635338,1,8
U0040,P01997,0.5434805,0,9
U0040,P04127,0.532253,0,10
U0041,P03022,0.81026876,1,1
U0041,P01868,0.727207,1,2
U0041,P04475,0.5936148,0,3
U0041,P01159,0.5850979,1,4
U0041,P02845,0.5505436,1,5
U0041,P01755,0.54961675,1,6
U0041,P03826,0.47971612,0,7
U0041,P04329,0.4502527,1,8
U0041,P03789,0.35335052,0,9
U0041,P02846,0.22404745,0,10
U0042,P03793,0.6965784,1,1
U0042,P00156,0.610376,1,2
U0042,P04356,0.5965702,1,3
U0042,P00900,0.5715215,1,4
U0042,P04284,0.5316893,0,5
U0042,P01837,0.52599,0,6
U0042,P02125,0.4982515,0,7
U0042,P03258,0.44626737,1,8
U0042,P02257,0.32791194,0,9
U0042,P03355,0.26377705,1,10
U0043,P03285,0.78644407,1,1
U0043,P02524,0.76821357,1,2
U0043,P04374,0.6030944,1,3
U0043,P04147,0.53382206,0,4
U0043,P04551,0.48096055,0,5
U0043,P01856,0.43653762,0,6
U0044,P03925,0.57246226,0,1
U0044,P01191,0.5373634,0,2
U0044,P03611,0.23745185,0,3
U0045,P01781,0.7232179,1,1
U0045,P04542,0.7203359,1,2
U0045,P02454,0.6857265,1,3
U0045,P01471,0.62056965,1,4
U0045,P01597,0.54748774,0,5
U0045,P03215,0.4695773,0,6
U0045,P01867,0.39152208,0,7
U0045,P00844,0.33862707,0,8
U0045,P01084,0.29732177,0,9
U0045,P01443,0.17391281,0,10
U0046,P02394,0.8349221,0,1
U0046,P03890,0.7789229,1,2
U0046,P02343,0.7757524,1,3
U0046,P03233,0.73443186,1,4
U0046,P04464,0.619604,1,5
U0046,P02866,0.5524674,0,6
U0046,P01466,0.5132606,0,7
U0046,P00823,0.48884863,1,8
U0046,P00513,0.4482847,1,9
U0046,P03831,0.32395774,0,10
U0047,P02187,0.712578,1,1
U0047,P00869,0.6896116,1,2
U0047,P03329,0.5058449,1,3
U0047,P04530,0.4276049,0,4
U0047,P02616,0.34596086,0,5
U0047,P00604,0.3182525,1,6
U0047,P01495,0.28936923,0,7
U0047,P03428,0.15882808,0,8
U0048,P01534,0.7686876,1,1
U0048,P03863,0.76081246,1,2
U0048,P00496,0.72253895,1,3
U0048,P02740,0.67700344,1,4
U0048,P03209,0.6231508,1,5
U0048,P04822,0.6134935,0,6
U0048,P02330,0.53972626,0,7
U0048,P04714,0.40243733,1,8
U0048,P03635,0.33978218,0,9
U0048,P03188,0.23079893,0,10
U0049,P01012,0.7374049,1,1
U0049,P03834,0.69657457,1,2
U0049,P00099,0.5798906,1,3
U0049,P04332,0.49617162,0,4
U0049,P01918,0.47537273,0,5
U0049,P03920,0.40203476,1,6
U0049,P01093,0.37116453,0,7
U0049,P04669,0.30930835,0,8
U0049,P04849,0.2902423,0,9
U0050,P00929,0.78452486,1,1
U0050,P04184,0.54783446,1,2
U0050,P03140,0.49845275,0,3
U0050,P01599,0.49352476,1,4
U0050,P04141,0.47429162,1,5
U0050,P02989,0.35751063,0,6
U0050,P02121,0.34327033,0,7
U0050,P00094,0.31757215,0,8
U0050,P02687,0.23084155,0,9
U0050,P03095,0.087813914,0,10
U0051,P01297,0.84570134,1,1
U0051,P00672,0.80825305,1,2
U0051,P03261,0.7089875,1,3
U0051,P00147,0.6904936,1,4
U0051,P03183,0.6815609,0,5
U0051,P03500,0.6564668,0,6
U0051,P04200,0.6471167,1,7
U0051,P03273,0.63447946,1,8
U0051,P02387,0.6340598,0,9
U0051,P01945,0.59696907,0,10
U0052,P03296,0.64443254,0,1
U0052,P02078,0.5820329,1,2
U0052,P03114,0.46417564,0,3
U0052,P03082,0.42232332,0,4
U0052,P02993,0.34346613,1,5
U0052,P00984,0.25684282,0,6
U0052,P02968,0.11010269,0,7
U0053,P01301,0.814011,1,1
U0053,P03836,0.7219342,1,2
U0053,P03401,0.69529754,1,3
U0053,P04250,0.5912371,0,4
U0053,P02790,0.5763305,1,5
U0053,P03782,0.5733971,1,6
U0054,P01863,0.75205725,1,1
U0054,P02171,0.5594884,0,2
U0054,P01987,0.5010137,0,3
U0054,P02163,0.49848634,0,4
U0054,P00866,0.47492948,0,5
U0054,P04983,0.26949707,0,6
U0054,P02691,0.264629,0,7
U0054,P00748,0.20248947,0,8
U0055,P01381,0.7548316,1,1
U0055,P04376,0.69883424,1,2
U0055,P03929,0.6800825,1,3
U0055,P02383,0.6793571,1,4
U0055,P03981,0.5470158,1,5
U0055,P01801,0.41376743,0,6
U0055,P00810,0.32000798,0,7
U0055,P04239,0.29552382,1,8
U0056,P04698,0.7508351,1,1
U0056,P02120,0.65338314,1,2
U0056,P01835,0.6122428,0,3
U0056,P00664,0.5566365,0,4
U0056,P03981,0.48662165,0,5
U0056,P04216,0.48212042,1,6
U0056,P04979,0.46679485,1,7
U0056,P01740,0.4047662,1,8
U0056,P02012,0.3972168,0,9
U0056,P04348,0.36513716,0,10
U0057,P02376,0.5498704,1,1
U0057,P00301,0.44599736,0,2
U0057,P02749,0.42883444,1,3
U0057,P02973,0.4004967,1,4
U0057,P01655,0.2394167,0,5
U0057,P03451,0.23495772,0,6
U0057,P01260,0.15010609,0,7
U0058,P04249,0.80673486,1,1
U0058,P00786,0.6974868,1,2
U0058,P03506,0.6888188,1,3
U0058,P00620,0.5392886,1,4
U0058,P00893,0.5264314,0,5
U0058,P04328,0.44589877,1,6
U0058,P04463,0.4071474,1,7
U0058,P02203,0.33548328,0,8
U0058,P02961,0.24231091,0,9
U0059,P03136,0.8242243,1,1
U0059,P02514,0.8143249,1,2
U0059,P04239,0.7945186,1,3
U0059,P00380,0.68788505,1,4
U0059,P01912,0.6125448,0,5
U0059,P02798,0.6034662,0,6
U0059,P01897,0.15385164,0,7
U0060,P00973,0.6347303,1,1
U0060,P02342,0.6022984,1,2
U0060,P01963,0.59937054,0,3
U0060,P02115,0.54846257,1,4
U0060,P00912,0.37763855,0,5
U0060,P02995,0.30698,1,6
U0060,P01971,0.26790556,0,7
U0060,P02071,0.25417417,1,8
U0061,P04841,0.6237457,1,1
U0061,P03968,0.60940707,0,2
U0061,P02155,0.57627386,1,3
U0061,P00345,0.56055236,1,4
U0061,P04841,0.54295635,1,5
U0061,P02117,0.5392349,1,6
U0061,P01070,0.25678742,0,7
U0061,P01239,0.23043808,0,8
U0061,P03175,0.22887205,0,9
U0061,P03452,0.10430724,0,10
U0062,P02226,0.739262,1,1
U0062,P02347,0.7242826,1,2
U0062,P00540,0.67412424,1,3
U0062,P02668,0.6414196,1,4
U0062,P02955,0.6046255,1,5
U0062,P03839,0.60263383,1,6
U0062,P01177,0.56494206,1,7
U0062,P01411,0.54625654,0,8
U0062,P01960,0.54194325,0,9
U0062,P03819,0.36321253,0,10
U0063,P01190,0.74225223,1,1
U0063,P03399,0.7300538,1,2
U0063,P00751,0.70672286,1,3
U0063,P01792,0.6873641,1,4
U0063,P00811,0.6314489,0,5
U0063,P02537,0.6280204,0,6
U0063,P04483,0.56126094,1,7
U0063,P01302,0.42618015,1,8
U0063,P04304,0.41620076,0,9
U0063,P03171,0.41540185,0,10
U0064,P02383,0.51401806,0,1
U0064,P00697,0.41734105,0,2
U0064,P00464,0.40086573,1,3
U0064,P03958,0.3801887,0,4
U0064,P00873,0.32541522,1,5
U0064,P02337,0.17732146,0,6
U0064,P00781,0.15775749,0,7
U0065,P04541,0.775344,1,1
U0065,P04661,0.7619633,1,2
U0065,P03627,0.62377775,1,3
U0065,P00775,0.600736,0,4
U0065,P00975,0.5400653,1,5
U0065,P03837,0.50110435,1,6
U0065,P04005,0.45005193,1,7
U0065,P04693,0.40052912,1,8
U0065,P03451,0.38338614,0,9
U0065,P03468,0.36414662,1,10
U0066,P04752,0.78598726,1,1
U0066,P01460,0.7601301,1,2
U0066,P01330,0.74467254,1,3
U0066,P03802,0.7254676,1,4
U0066,P02049,0.6311661,1,5
U0066,P02099,0.5984951,0,6
U0066,P01365,0.59302473,1,7
U0066,P03931,0.59272045,1,8
U0066,P00509,0.57172894,0,9
U0066,P02023,0.5588995,1,10
U0067,P04720,0.7435213,1,1
U0067,P02851,0.6585947,1,2
U0067,P00374,0.56864333,1,3
U0067,P00778,0.50672114,0,4
U0067,P03007,0.4542697,1,5
U0067,P03899,0.45085233,1,6
U0067,P00222,0.4253131,0,7
U0067,P03877,0.4025651,0,8
U0067,P02473,0.39532498,0,9
U0068,P04921,0.78424823,1,1
U0068,P04110,0.6659158,1,2
U0068,P02501,0.6603118,1,3
U0068,P01040,0.6564722,1,4
U0068,P01382,0.64341784,1,5
U0068,P01859,0.6134343,1,6
U0068,P03084,0.55254865,0,7
U0068,P03618,0.5330656,0,8
U0068,P02075,0.5244725,1,9
U0068,P03788,0.5232629,0,10
U0069,P00549,0.79264873,1,1
U0069,P04255,0.7365658,1,2
U0069,P00152,0.6657464,0,3
U0069,P03615,0.6528233,1,4
U0069,P03798,0.5529205,1,5
U0069,P00946,0.53633755,1,6
U0069,P00947,0.45681947,0,7
U0069,P03373,0.42661294,0,8
U0069,P04231,0.22687007,0,9
U0069,P02718,0.1887778,0,10
U0070,P03402,0.6406413,1,1
U0070,P03226,0.514806,1,2
U0070,P00229,0.4117364,0,3
U0070,P03339,0.39259297,0,4
U0070,P02683,0.3252044,1,5
U0070,P04228,0.31730005,0,6
U0070,P01955,0.3007446,0,7
U0070,P02801,0.25645837,0,8
U0071,P04690,0.7840414,1,1
U0071,P03243,0.67838275,0,2
U0071,P02782,0.63527375,0,3
U0071,P00911,0.60202736,0,4
U0071,P02313,0.5591334,1,5
U0071,P02762,0.53543067,0,6
U0071,P00194,0.5082159,0,7
U0071,P02811,0.46423414,1,8
U0071,P02554,0.37708434,0,9
U0072,P02639,0.72100484,1,1
U0072,P00352,0.6374132,0,2
U0072,P00071,0.6371718,1,3
U0072,P01787,0.57445806,1,4
U0072,P02262,0.52273,0,5
U0072,P03777,0.50981426,1,6
U0072,P02573,0.4767444,1,7
U0072,P01851,0.3443619,1,8
U0072,P00291,0.1924372,0,9
U0073,P04007,0.7827272,1,1
U0073,P04069,0.73424625,1,2
U0073,P00638,0.6118032,1,3
U0073,P04545,0.5857996,0,4
U0073,P01646,0.5845459,0,5
U0073,P03626,0.47227547,0,6
U0073,P01624,0.46130702,1,7
U0073,P01314,0.44430274,1,8
U0073,P04110,0.4310441,0,9
U0073,P03933,0.40645725,0,10
U0074,P03429,0.75485814,0,1
U0074,P03650,0.727659,1,2
U0074,P02900,0.41593763,0,3
U0074,P04913,0.3742108,0,4
U0074,P00877,0.33141413,0,5
U0074,P01575,0.31360155,0,6
U0075,P00625,0.32930413,1,1
U0076,P02472,0.704447,0,1
U0076,P00049,0.6811244,1,2
U0076,P00735,0.6380074,1,3
U0076,P03392,0.56627494,0,4
U0076,P03229,0.48550737,0,5
U0076,P03704,0.45497215,1,6
U0076,P01264,0.45279878,0,7
U0076,P03957,0.44869012,0,8
U0076,P00486,0.4432502,1,9
U0076,P01219,0.41970807,1,10
U0077,P01846,0.7552761,1,1
U0077,P03182,0.68797684,1,2
U0077,P02852,0.68264455,1,3
U0077,P01214,0.6385888,0,4
U0077,P01291,0.611871,1,5
U0077,P04643,0.4364185,0,6
U0077,P03796,0.41163445,0,7
U0077,P02655,0.3432281,1,8
U0077,P01986,0.33536205,1,9
U0077,P01295,0.25697082,0,10
U0078,P01877,0.773556,1,1
U0078,P04533,0.6278945,1,2
U0078,P02635,0.6271097,1,3
U0078,P01412,0.58847314,0,4
U0078,P03937,0.5623582,0,5
U0078,P00128,0.50105053,0,6
U0078,P02605,0.45854223,0,7
U0078,P02210,0.45102564,1,8
U0078,P02112,0.34850004,0,9
U0079,P04919,0.8211503,1,1
U0079,P03963,0.7622148,1,2
U0079,P04803,0.67574495,1,3
U0079,P00757,0.64283013,1,4
U0079,P04185,0.6138882,1,5
U0079,P02022,0.5915937,1,6
U0079,P00135,0.5060464,0,7
U0079,P00791,0.48885176,1,8
U0079,P04260,0.45884717,0,9
U0079,P01431,0.4507585,1,10
U0080,P01003,0.69309366,1,1
U0080,P01369,0.68684363,1,2
U0080,P04637,0.61924726,0,3
U0080,P00474,0.52079475,0,4
U0080,P02463,0.42674682,0,5
U0080,P00578,0.41349566,0,6
U0080,P04758,0.33013144,1,7
U0080,P04106,0.32845533,0,8
U0080,P04001,0.21781582,0,9
U0081,P03246,0.6454669,1,1
U0081,P04790,0.61599785,1,2
U0081,P04068,0.5857167,1,3
U0081,P02221,0.5429315,1,4
U0081,P03524,0.36440167,1,5
U0081,P04248,0.36322942,0,6
U0081,P04757,0.23281194,0,7
U0082,P04417,0.83504957,1,1
U0082,P01935,0.75305825,0,2
U0082,P01977,0.67260283,1,3
U0082,P04011,0.6601314,0,4
U0082,P02784,0.65547925,0,5
U0082,P02496,0.5936683,1,6
U0082,P03993,0.58308053,0,7
U0082,P00726,0.5059008,0,8
U0082,P03361,0.37750983,0,9
U0082,P04868,0.32522976,0,10
U0083,P04251,0.7216856,1,1
U0083,P04019,0.72107136,1,2
U0083,P02344,0.6786881,1,3
U0083,P02292,0.67369473,1,4
U0083,P04022,0.6549061,1,5
U0083,P04186,0.65199614,1,6
U0083,P01601,0.6425663,0,7
U0083,P00019,0.5843432,1,8
U0083,P04713,0.5449872,1,9
U0083,P02452,0.4411379,1,10
U0084,P03056,0.80115145,1,1
U0084,P03706,0.76622033,1,2
U0084,P01499,0.70183605,1,3
U0084,P01775,0.6065006,0,4
U0084,P04050,0.6064129,1,5
U0084,P02826,0.5892782,0,6
U0084,P02784,0.58901167,1,7
U0084,P04767,0.5740006,0,8
U0084,P00958,0.5672002,0,9
U0084,P03755,0.54082555,0,10
U0085,P01800,0.7188915,1,1
U0085,P01612,0.7060534,1,2
U0085,P02468,0.7001595,1,3
U0085,P01274,0.6888454,1,4
U0085,P00801,0.6761695,1,5
U0085,P00896,0.5856825,0,6
U0085,P03565,0.5743587,1,7
U0085,P01305,0.5654181,1,8
U0085,P04963,0.5427602,1,9
U0085,P04481,0.5351625,1,10
U0086,P00403,0.76678485,1,1
U0086,P00298,0.66655344,1,2
U0086,P01094,0.64574265,0,3
U0086,P01430,0.6046585,0,4
U0086,P03670,0.5413196,0,5
U0086,P01817,0.5069438,1,6
U0086,P02695,0.48720726,0,7
U0086,P01265,0.4720871,0,8
U0086,P03759,0.32521212,0,9
U0086,P03253,0.16132046,0,10
U0087,P01062,0.63821226,1,1
U0087,P02927,0.58664334,1,2
U0087,P04398,0.4055556,0,3
U0087,P01945,0.38317493,0,4
U0087,P02920,0.32725558,0,5
U0087,P04497,0.23098642,0,6
U0087,P01952,0.21979387,0,7
U0087,P01033,0.18893972,0,8
U0087,P02914,0.17044114,0,9
U0087,P02687,0.14467055,0,10
U0088,P02858,0.62862426,0,1
U0088,P02287,0.6183898,1,2
U0088,P00123,0.61592364,0,3
U0088,P00531,0.604341,0,4
U0088,P01343,0.5988359,0,5
U0088,P02194,0.59355205,1,6
U0088,P04999,0.5878982,1,7
U0088,P00936,0.584551,0,8
U0088,P04636,0.555931,1,9
U0088,P04722,0.5513872,0,10
U0089,P01860,0.8205869,1,1
U0089,P03381,0.74612576,1,2
U0089,P02457,0.7438452,1,3
U0089,P03792,0.73079556,1,4
U0089,P00457,0.58039814,0,5
U0089,P01214,0.2155668,0,6
U0090,P04571,0.7126814,1,1
U0090,P02141,0.6668455,1,2
U0090,P04689,0.6252872,1,3
U0090,P04650,0.547248,0,4
U0090,P00931,0.454155,1,5
U0090,P04350,0.4508988,1,6
U0090,P00881,0.3851816,0,7
U0090,P04437,0.37844267,0,8
U0090,P03253,0.19637297,0,9
