intersection,sample_count,statistically_unstable,top_k_count,selection_rate,selection_rate_ci_lower,selection_rate_ci_upper,mean_score,mean_interaction_rate,total_exposure,exposure_share,mean_position_exposure,exposure_DI,exposure_SPD,selection_DI,selection_SPD,relevance_aware_ratio,age_group,location
26-35 x Bengaluru,219,False,188,0.8584474885844748,0.8060836757037894,0.898452640675199,0.5104911923408508,0.5068493150684932,90.10438536873941,0.048280383287416996,0.4114355496289471,0.6137510308660505,-0.2589267454019541,0.8584474885844748,-0.14155251141552516,0.8059601336945984,26-35,Bengaluru
26-35 x Chennai,127,False,107,0.84251968503937,0.7692434526599883,0.8956826870387007,0.5333060622215271,0.5433070866141733,50.575671522576656,0.027099822013498337,0.3982336340360367,0.594057328384914,-0.2721286609948645,0.84251968503937,-0.15748031496062997,0.746726246420609,26-35,Chennai
26-35 x Delhi,160,False,137,0.85625,0.793529970004945,0.9022640163819067,0.5178683996200562,0.525,64.30932143199433,0.034458685612072174,0.40193325894996457,0.5995761723613005,-0.2684290360809366,0.85625,-0.14375000000000004,0.7761301119065199,26-35,Delhi
26-35 x Hyderabad,169,False,160,0.9467455621301775,0.901899099509051,0.971733174202833,0.5202224254608154,0.5088757396449705,75.73684332725365,0.04058186302314504,0.44814700193641216,0.6685146304592717,-0.222215293094489,0.9467455621301775,-0.053254437869822535,0.8614526787065003,26-35,Hyderabad
26-35 x Kolkata,65,False,59,0.9076923076923077,0.812877830498267,0.9570054958625379,0.5437712669372559,0.5076923076923077,26.972291202212187,0.014452488100922367,0.4149583261878798,0.6190060647261669,-0.25540396884302136,0.9076923076923077,-0.09230769230769231,0.7631119027768722,26-35,Kolkata
26-35 x Mumbai,233,False,216,0.927038626609442,0.8862730512233381,0.9539509634767822,0.5116648077964783,0.5407725321888412,104.49408189103434,0.055990774525788864,0.4484724544679585,0.6690001179843887,-0.22188984056294264,0.927038626609442,-0.07296137339055797,0.8764965806410212,26-35,Mumbai
26-35 x Other,190,False,168,0.8842105263157894,0.8309122836392367,0.9222800135766344,0.5260778069496155,0.4631578947368421,79.41016582036568,0.04255012924215271,0.4179482411598194,0.623466212610531,-0.2524140538710818,0.8842105263157894,-0.11578947368421055,0.7944608870372818,26-35,Other
26-35 x Pune,158,False,139,0.879746835443038,0.8198170302357599,0.9216486992182247,0.5235865116119385,0.5126582278481012,64.81431281537117,0.03472927374656196,0.410217169717539,0.6119335361763292,-0.26014512531336215,0.879746835443038,-0.120253164556962,0.7834754345650059,26-35,Pune
36-45 x Ahmedabad,26,True,24,0.9230769230769231,0.7585805251948495,0.9786453608166245,0.4825412631034851,0.4230769230769231,11.746512968738195,0.0062941015145978885,0.4517889603360844,0.6739474515273247,-0.21857333469481677,0.9230769230769231,-0.07692307692307687,0.9362701076181218,36-45,Ahmedabad
36-45 x Bengaluru,162,False,143,0.8827160493827161,0.82408370457551,0.9236177165395784,0.5051248073577881,0.48148148148148145,66.09404077906169,0.03541498683741492,0.40798790604359064,0.6086080751674495,-0.2623743889873105,0.8827160493827161,-0.11728395061728392,0.8076972267065993,36-45,Bengaluru
36-45 x Chennai,75,False,68,0.9066666666666666,0.819651161993122,0.9540520606710551,0.5345740914344788,0.5066666666666667,32.56817944430699,0.017450917401075166,0.4342423925907599,0.6477726981508454,-0.23611990244014125,0.9066666666666666,-0.09333333333333338,0.8123146997743788,36-45,Chennai
36-45 x Delhi,97,False,92,0.9484536082474226,0.8849549104296393,0.9777842765725502,0.5489508509635925,0.4948453608247423,44.42257708415761,0.02380282646023183,0.45796471220781043,0.6831600100460602,-0.21239758282309074,0.9484536082474226,-0.05154639175257736,0.8342544900038483,36-45,Delhi
36-45 x Hyderabad,76,False,73,0.9605263157894737,0.8902503272853766,0.9864856098701913,0.510022759437561,0.5526315789473685,35.640014600338056,0.019096890325944547,0.46894756053076386,0.699543461806943,-0.2014147345001373,0.9605263157894737,-0.03947368421052633,0.9194639883284939,36-45,Hyderabad
36-45 x Kolkata,65,False,50,0.7692307692307693,0.6535506019179673,0.8548629154901115,0.5460366010665894,0.5846153846153846,24.19347514234634,0.01296352278689783,0.37220730988225137,0.5552330622429981,-0.2981549851486498,0.7692307692307693,-0.23076923076923073,0.6816526752148261,36-45,Kolkata
36-45 x Mumbai,201,False,177,0.8805970149253731,0.8284831505893563,0.9184354440711032,0.5330780744552612,0.5223880597014925,83.74756867575444,0.04487422780265139,0.41665457052614147,0.621536404440729,-0.2537077245047597,0.8805970149253731,-0.11940298507462688,0.7816014022934822,36-45,Mumbai
36-45 x Other,102,False,86,0.8431372549019608,0.7602877113371933,0.9010779520692556,0.5326467156410217,0.5,41.05076841738006,0.021996119559811275,0.40245851389588294,0.6003597112772149,-0.2679037811350182,0.8431372549019608,-0.1568627450980392,0.7555824565848269,36-45,Other
36-45 x Pune,63,False,58,0.9206349206349206,0.8272947198845853,0.9656246596634805,0.4689069986343384,0.4603174603174603,28.10963092355638,0.015061905694192499,0.44618461783422825,0.6655872818945774,-0.22417767719667292,0.9206349206349206,-0.07936507936507942,0.9515418177457627,36-45,Pune
46-55 x Ahmedabad,17,True,17,1.0,0.8156763396284354,1.0,0.6330846548080444,0.5294117647058824,8.207959027876933,0.004398047955730227,0.48282111928687843,0.7202390749984263,-0.18754117574402274,1.0,0.0,0.7626485899161038,46-55,Ahmedabad
46-55 x Bengaluru,78,False,62,0.7948717948717948,0.692458195735871,0.8696031520383659,0.5348839163780212,0.6153846153846154,30.626968728185787,0.016410763838821483,0.3926534452331511,0.5857331895658768,-0.27770884979775007,0.7948717948717948,-0.20512820512820518,0.7340909554581729,46-55,Bengaluru
46-55 x Chennai,38,False,34,0.8947368421052632,0.7586916879980553,0.9582981020673341,0.5414607524871826,0.5263157894736842,16.345249498270583,0.008758229774005557,0.4301381446913311,0.6416502656544897,-0.24022415033957006,0.8947368421052632,-0.10526315789473684,0.7944031819767274,46-55,Chennai
46-55 x Delhi,46,False,39,0.8478260869565217,0.7177558259368491,0.9242781376598252,0.5169380307197571,0.5217391304347826,19.293708617149974,0.010338094458551357,0.4194284481989125,0.6256742828586123,-0.25093384683198866,0.8478260869565217,-0.15217391304347827,0.8113708477105517,46-55,Delhi
46-55 x Hyderabad,52,False,49,0.9423076923076923,0.8435724442484082,0.9801861873094267,0.5169743895530701,0.6538461538461539,23.881536462253766,0.012796377547790906,0.4592603165818032,0.6850927028356107,-0.21110197844909795,0.9423076923076923,-0.05769230769230771,0.8883618335114022,46-55,Hyderabad
46-55 x Kolkata,40,False,29,0.725,0.5716474916687543,0.8389214656685692,0.5563161373138428,0.45,13.341613187947148,0.0071487996477696564,0.3335403296986787,0.49755234172784696,-0.3368219653322225,0.725,-0.275,0.5995517787946419,46-55,Kolkata
46-55 x Mumbai,69,False,63,0.9130434782608695,0.8229829488715114,0.9595369298790927,0.546600878238678,0.5942028985507246,29.63168549477369,0.015877463980085115,0.4294447173155607,0.64061585876599,-0.24091757771534045,0.9130434782608695,-0.08695652173913049,0.7856641553511006,46-55,Mumbai
46-55 x Other,42,False,41,0.9761904761904762,0.8767851883475174,0.9957847045008997,0.48135870695114136,0.5952380952380952,19.98324913759133,0.010707569046085292,0.4757916461331269,0.7097529942539426,-0.19457064889777426,0.9761904761904762,-0.023809523809523836,0.9884346938413654,46-55,Other
46-55 x Pune,65,False,56,0.8615384615384616,0.7573167852534054,0.9254099381231576,0.5144877433776855,0.6,26.09313155391243,0.013981410421217455,0.4014327931371143,0.5988296121556326,-0.2689295018937869,0.8615384615384616,-0.1384615384615384,0.7802572525861367,46-55,Pune
56+ x Ahmedabad,15,True,10,0.6666666666666666,0.41713125151212976,0.8482389930530876,0.5593087673187256,0.4666666666666667,4.543559338088346,0.00243456281771757,0.3029039558725564,0.4518511230685993,-0.36745833915834475,0.6666666666666666,-0.33333333333333337,0.54156840294968,56+,Ahmedabad
56+ x Bengaluru,45,False,42,0.9333333333333333,0.8214312561135918,0.977068383537853,0.5277237296104431,0.5333333333333333,21.63763803292575,0.011594035666398132,0.4808364007316833,0.7172784094450279,-0.18952589429921785,0.9333333333333333,-0.06666666666666665,0.9111517518581717,56+,Bengaluru
56+ x Chennai,49,False,37,0.7551020408163265,0.619134127396842,0.8539779661052471,0.49106302857398987,0.6326530612244898,17.268677653585783,0.009253027725232444,0.3524219929303221,0.5257186979975906,-0.31794030210057905,0.7551020408163265,-0.24489795918367352,0.717671607153422,56+,Chennai
56+ x Delhi,7,True,7,1.0,0.6456611570247934,1.0,0.5282939076423645,0.5714285714285714,4.692536065216308,0.002514388604855544,0.6703622950309012,1.0,0.0,1.0,0.0,1.2689192234348303,56+,Delhi
56+ x Hyderabad,48,False,42,0.875,0.7529927291394518,0.9414302824959915,0.531261146068573,0.4166666666666667,20.298714014377058,0.010876603717401265,0.42288987529952204,0.6308377998497491,-0.24747241973137912,0.875,-0.125,0.7960112995821026,56+,Hyderabad
56+ x Kolkata,17,True,17,1.0,0.8156763396284354,1.0,0.4878535568714142,0.7058823529411765,8.207959027876933,0.004398047955730227,0.48282111928687843,0.7202390749984263,-0.18754117574402274,1.0,0.0,0.9896845323485831,56+,Kolkata
56+ x Mumbai,39,False,35,0.8974358974358975,0.7642084129775517,0.9593873444171301,0.552425742149353,0.5384615384615384,16.646279493934564,0.008919529842944363,0.4268276793316555,0.6367119429233119,-0.24353461569924567,0.8974358974358975,-0.10256410256410253,0.7726426318784019,56+,Mumbai
56+ x Other,50,False,39,0.78,0.6475818431054045,0.8724621377569771,0.5228413343429565,0.52,17.885172526035493,0.009583362465487227,0.35770345052070984,0.5335972103028573,-0.3126588445101913,0.78,-0.21999999999999997,0.6841529676880427,56+,Other
56+ x Pune,38,False,35,0.9210526315789473,0.792003210797347,0.972785898605735,0.5335216522216797,0.5,16.69054800095001,0.00894325011446634,0.4392249473934213,0.6552053279983098,-0.23113734763747984,0.9210526315789473,-0.07894736842105265,0.8232560863545275,56+,Pune
